Series 1: ,,
X,Y,
-0.122970931,80.51967856,
0.086216503,80.67842641,
1.318830416,83.71440916,
1.876682192,84.19115542,
2.316897457,80.50208336,
2.965741578,75.36919906,
3.546159902,73.92270566,
4.727217073,62.37572688,
4.936348649,62.37421872,
5.562123501,57.72227003,
5.887551002,58.04043601,
6.190020949,59.16004961,
6.585717553,61.08027295,
6.817918398,60.5978292,
7.211548264,56.58858027,
7.836596965,49.85330347,
9.04055583,37.34462108,
9.61957771,31.89172749,
9.989691444,27.08136609,
10.49894694,21.46871922,
11.49494724,12.32692114,
12.07586829,12.3227318,
12.42397405,11.03817014,
12.79537252,9.913696917,
13.30669475,10.23052232,
13.44723296,13.43463703,
14.00586674,16.15496739,
14.44809289,18.23511159,
14.68135503,20.79753198,
15.61189,23.83569319,
15.65881055,25.1174061,
16.84495078,28.153724,
17.63572955,30.2313546,
18.03081172,30.38876186,
18.56587351,32.14772375,
19.17042241,33.2651589,
19.47317164,35.18605253,
19.96120118,35.3427895,
20.28701968,36.78274754,
21.2405122,39.01946113,
21.68217977,39.49704526,
21.93834361,41.09776203,
23.35081962,26.82475539,
24.44300704,26.97713545,
25.2300992,18.47786956,
26.29983178,20.8740013,
27.37051396,25.99448516,
28.25446353,28.7124695,
28.46420954,30.47377742,
29.4875243,33.03050031,
29.74368814,34.63121708,
30.97574347,36.06463975,
32.09133531,36.69762026,
32.2546635,38.61951934,
32.85960339,40.85874653,
33.18491918,40.85640051,
33.69663242,42.29501796,
33.95223768,42.29317465,
34.13941714,45.97772224,
34.69726892,46.4544685,
35.06961696,48.0543474,
35.32555737,49.01404014,
36.11588928,49.80962268,
36.6503925,49.9660245,
37.62678672,51.24103448,
37.6277363,53.9653866,
38.25624818,57.16598227,
38.74444529,57.80348726,
39.30296736,60.20330561,
39.44317042,62.44588427,
40.09430471,63.88349628,
40.28159589,67.88855588,
40.81671355,69.80777378,
41.00299928,70.92822525,
41.35177534,71.56673568,
41.67764971,73.16694973,
41.81762933,74.76850436,
42.86457194,78.44685173,
43.51565038,79.72420773,
43.95681522,78.7594878,
44.91025189,80.83594538,
45.12010962,82.91776532,
45.60813915,83.07450229,
45.98071063,85.31540522,
46.28295715,85.79399478,
46.83969177,83.0656209,
47.07245119,84.18573722,
47.79301671,84.82156647,
48.25836799,86.58103108,
49.39552093,82.4061638,
50.4636895,80.31512732,
51.69189065,70.69088549,
52.52590335,63.47333251,
52.91992422,60.58587563,
53.59217276,55.93359179,
53.96468838,58.01423871,
54.59286512,60.25329833,
54.82635069,63.45674275,
55.10563965,64.73677993,
55.82693133,67.45593728,
56.12973643,69.53708692,
56.13090944,72.90246308,
56.34059959,74.50351499,
56.73612862,75.94297031,
56.96894391,77.22334264,
57.08596598,79.62634488,
57.66783661,82.34650767,
57.87719162,82.98602354,
58.06347735,84.10647501,
58.31930605,84.74565573,
58.50553593,85.70585119,
59.15583235,84.73962309,
59.59710891,84.09541516,
60.43363522,84.08938252,
60.71203046,82.80532358,
60.96836187,84.88680837,
61.59570074,84.72202788,
61.80444131,83.59872767,
62.19969105,84.23690295,
62.80273178,81.0274259,
63.38398797,81.98477261,
63.75644773,83.90516352,
63.89592464,84.06441409,
64.33692192,82.61892613,
64.73194823,82.61607738,
65.14982038,81.49126901,
65.89060642,73.47310629,
66.14688198,75.39433507,
66.40231966,74.91172374,
66.89062849,75.86974074,
67.42440555,73.94281447,
68.07486955,73.45735439,
68.60831147,70.56889207,
69.42154508,70.40277099,
69.53750585,69.7609091,
70.3983303,72.79957302,
70.72386952,73.43825103,
70.91043454,75.35998253,
71.81745338,77.59703127,
72.93287765,77.74924376,
73.44481432,79.82888524,
73.88642603,80.14621336,
74.07354963,83.67050493,
74.5611323,82.54519384,
74.88683909,83.66463987,
75.6065109,81.736373,
76.5129153,82.21060566,
77.07054364,82.04632789,
77.27928422,80.92302768,
77.55846146,81.88255285,
77.97644533,81.07825649,
78.76593937,79.46999892,
78.95177825,79.30840232,
79.32256228,76.42111302,
79.64698434,73.85467087,
80.48200248,69.52172603,
81.22267681,61.18305129,
81.96519445,58.1328248,
82.36111449,60.69407218,
82.8031172,62.13319235,
82.89673486,64.05559414,
83.52513503,66.9356778,
84.38562433,69.01280568,
84.71172212,71.25404376,
85.13110243,74.45614758,
85.82887798,76.37419247,
86.24742042,77.17245619,
86.55022551,79.25360583,
87.36401769,80.69004483,
87.66604078,80.52761037,
87.92220462,82.12832713,
88.10782006,81.32570651,
88.31734264,82.4459904,
88.66528083,80.68066072,
89.85035977,80.67211448,
90.8469745,73.29313248,
91.05699981,75.85572044,
91.3594139,76.81507803,
91.75471949,77.61350932,
92.86645714,67.18882531,
93.46882758,62.05627617,
94.1405734,55.96168826,
95.29951088,47.6199972,
96.3690759,49.53536092,
96.64696842,46.80899791,
97.25162902,48.24694507,
97.6009078,50.32775956,
97.85729507,52.56950036,
98.09038964,54.65115272,
98.18411902,56.89406653,
98.48714754,59.61624021,
98.81285433,60.73568623,
99.09225501,62.33623542,
99.32529372,64.25763178,
99.53515145,66.33945172,
99.74456231,67.13922359,
,,
X - axis,,
X,Y,Actual (yy/mm)
-0.01164635,-0.09009862,7601
3.706136621,-0.437422375,7604
7.214899731,-0.462725955,7607
10.81666607,-0.328443821,7610
14.44161339,-0.354585268,7701
18.06644899,-0.70123873,7704
21.66827118,-0.406700589,7707
25.22345212,-0.592595323,7710
28.84845529,-0.458480763,7801
32.40352452,-0.964887512,7804
35.93558032,-0.830102658,7807
39.63023817,-0.856746825,7810
43.11565272,-1.202394847,7901
46.53146847,-1.227028134,7904
50.01710645,-0.931652125,7907
53.59563594,-0.797202418,7910
57.29023793,-0.984102593,8001
60.77582006,-0.848982592,8004
64.2382212,-0.553439011,8007
67.77022115,-0.578910164,8010
71.30210939,-0.924893333,8101
74.85751375,-0.469764037,8104
78.50564206,-0.656329065,8107
81.94458293,-1.00164194,8110
85.47663873,-0.866857086,8201
88.86932935,-0.570810784,8204
92.35496734,-0.275434776,8207
96.07275031,-0.622758532,8210
99.65133566,-0.328052817,8301
,,
Y - axis,,
X,Y,Actual (cm)
-1.405800999,0.08021179,32500
-1.422334906,19.31110026,33000
-1.438701239,39.02275674,33500
-1.40881732,58.09305406,34000
-1.425183653,77.80471054,34500
-1.371671888,97.99663233,35000
