name,max_allo,current_use_2015,current_use_2015_max,current_use_2016,current_use_2016_max,current_use_2017,current_use_2017_max,current_use_2018,current_use_2018_max,current_use_2019,current_use_2019_max,current_use_2020,current_use_2020_max,ibound,use_x,use_y,i,j,k,mangawera,sandypoint,lake,terrace,flat,east,near_river,hawea_flat,hawea_town,main,active,clutha,sub_terrace
w_057,126636.0,4649.641308539005,60.01,6358.899999949999,107.33,7682.429999993005,82.8,5495.049999999,104.38,4913.3099999990045,55.21,3332.199999999998,70.86,1.0,1303476.04,5047621.47,83,72,0,False,False,False,True,True,False,False,False,False,True,True,False,False
w_058,27450.0,2317.000000002999,8.9,3225.0000000049986,18.85714286,4071.00000001,40.0,3836.999999858001,60.0,4190.000000057002,102.0,3329.730000147,30.30769231,1.0,1305499.67,5047492.67,84,92,0,False,False,False,False,True,False,False,True,False,True,True,False,False
w_059,60390.0,21243.959999999995,160.9,20599.04999999999,163.87,22818.559999999994,197.05,15561.970000000007,200.62,15045.559999999994,152.01,16393.380000000005,167.05,1.0,1305075.0,5047995.0,79,88,0,False,False,False,False,True,False,False,True,False,True,True,False,False
w_064,695400.0,173991.09999999608,1911.4,91218.00000059005,1716.8,157879.79999999996,1762.1,48255.99999999999,1744.5,89548.7700000001,1765.5,44134.700000000004,1814.6,1.0,1306624.78,5051797.59,41,103,0,False,False,False,False,True,False,False,False,False,True,True,False,False
w_065,280356.0,4424.009999985995,494.0,4981.279999999998,372.0,2075.760000000001,32.11,1608.9199999999998,32.11,2078.0,243.0,882.5299999989999,237.0,1.0,1306261.33,5052091.59,38,100,0,False,False,False,False,True,False,False,False,False,True,True,False,False
w_066,42090.0,24939.83700000001,221.548,16081.074000000002,228.361,18605.39699999901,177.927,9584.261000008017,181.71,7901.506999999999,78.246,7091.8640000000005,46.413,1.0,1305314.58,5048960.66,69,90,0,False,False,False,False,True,False,False,True,False,True,True,False,False
w_070,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,1298811.84,5050063.47,58,25,0,True,False,False,False,False,False,False,False,False,False,True,False,False
w_072,85278.0,0.0,,4788.14,54.75,13219.110000000008,56.74,13219.110000000008,56.74,13219.110000000008,56.74,13275.010000000006,56.74,1.0,1306547.0,5040018.0,159,102,0,False,True,False,False,False,False,False,False,False,False,True,False,False
w_078,695400.0,0.0,,2332.1,1138.4,276.69999999998197,271.9,6381.799999999985,1153.5,0.1,0.1,997.4000000000001,913.0,1.0,1297151.49,5051700.78,42,9,0,True,False,False,False,False,False,False,False,False,False,True,False,False
w_080,2345328.0,0.0,,0.0,,298146.0,3736.0,283440.000000009,3713.0,310942.0,3725.0,460490.9999951601,3752.0,1.0,1304657.0,5048809.0,71,84,0,False,False,False,False,True,False,False,True,False,True,True,False,False
w_081,549000.0,0.0,,0.0,,79272.0,1857.0,64956.0,1866.0,36709.0,2061.0,79769.0,2117.0,1.0,1297896.54,5050966.64,49,16,0,True,False,False,False,False,False,False,False,False,False,True,False,False
w_084,91500.0,0.0,,0.0,,0.0,,6136.670000000001,73.71,9685.119999999968,196.55,17110.56999999663,239.07,1.0,1300677.22,5047066.26,88,44,0,False,False,False,False,False,True,True,False,False,True,True,False,False
w_088,2470500.0,0.0,,0.0,,87096.99999996723,2449.0,193478.99999999718,2770.0,189672.99999999872,2048.0,216845.0,2201.0,1.0,1303346.21,5053598.97,23,70,2,False,False,False,False,True,False,False,False,True,True,True,False,False
w_089,2470500.0,0.0,,0.0,,88327.0,2796.0,195658.0,2697.0,186312.0,1510.0,237157.0,2265.0,1.0,1303346.21,5053598.97,23,70,2,False,False,False,False,True,False,False,False,True,True,True,False,False
w_090,1739232.0,0.0,,0.0,,0.0,,0.0,,90438.09999999999,988.42,84372.90000000001,6654.0,1.0,1305940.0,5053461.0,24,96,2,False,False,False,False,True,False,False,False,False,True,True,False,False
w_093,330525.0,0.0,,0.0,,0.0,,0.0,,0.0,,64462.976665985996,1129.926667,1.0,1303924.7,5048693.58,72,76,0,False,False,False,False,True,False,False,False,False,True,True,False,False
w_096,169344.0,0.0,,0.0,,0.0,,0.0,,0.0,,29713.11,406.02,1.0,1301843.0,5047123.0,88,55,0,False,False,False,False,False,True,True,False,False,True,True,False,False
w_097,632448.0,42354.47499999999,466.465,101622.3100000001,713.345,9.899999999999999,3.4,1.05,0.2,159146.6,1842.0,215534.499999995,1842.0,1.0,1303931.0,5043017.0,129,76,0,False,False,False,False,False,True,True,False,False,True,True,True,False
w_098,632448.0,42354.47499999999,466.465,101622.3100000001,713.345,9.899999999999999,3.4,1.05,0.2,159146.6,1842.0,215534.499999995,1842.0,1.0,1303789.0,5043035.0,128,75,0,False,False,False,False,False,True,True,False,False,True,True,True,False
w_099,632448.0,37968.045,520.85,99671.88499999994,547.76,99127.62499999996,547.76,99127.62499999996,547.76,99127.62499999996,547.76,99671.88499999994,547.76,1.0,1303931.0,5043017.0,129,76,0,False,False,False,False,False,True,True,False,False,True,True,True,False
w_100,632448.0,37968.045,520.85,99671.88499999994,547.76,99127.62499999996,547.76,99127.62499999996,547.76,99127.62499999996,547.76,99671.88499999994,547.76,1.0,1303789.0,5043035.0,128,75,0,False,False,False,False,False,True,True,False,False,True,True,True,False
w_101,632448.0,49819.00000000001,695.345,142908.44,922.36,13.950000000000012,0.75,9.400000002000004,1.0,195730.35,3370.5,360904.5,3370.0,1.0,1303931.0,5043017.0,129,76,0,False,False,False,False,False,True,True,False,False,True,True,True,False
w_102,632448.0,49819.00000000001,695.345,142908.44,922.36,13.950000000000012,0.75,9.400000002000004,1.0,195730.35,3370.5,360904.5,3370.0,1.0,1303789.0,5043035.0,128,75,0,False,False,False,False,False,True,True,False,False,True,True,True,False
w_103,2108160.0,0.0,,74846.89000000003,862.27,161459.66666513335,2264.0260676666667,152284.33333223336,2047.0,176351.99999949997,2047.0,171506.33333283325,2046.9997223333332,1.0,1302327.0,5047352.0,85,60,0,False,False,False,False,True,False,True,False,False,True,True,False,False
w_104,2108160.0,0.0,,74846.89000000003,862.27,161459.66666513335,2264.0260676666667,152284.33333223336,2047.0,176351.99999949997,2047.0,171506.33333283325,2046.9997223333332,1.0,1305350.0,5047917.0,80,90,0,False,False,False,False,True,False,False,True,False,True,True,False,False
w_105,2108160.0,0.0,,74846.89000000003,862.27,161459.66666513335,2264.0260676666667,152284.33333223336,2047.0,176351.99999949997,2047.0,171506.33333283325,2046.9997223333332,1.0,1302623.0,5048210.0,77,63,0,False,False,False,False,True,False,False,False,False,True,True,False,False
