name,permit_id,water_meter_no,WellNumber,consent_b_x,consent_b_y,consent_x,consent_y,well_name,well_x,well_y,use_x,use_y,i,j,k,ibound
w_039,2001.953,1327,F40/0250,1297188.5,5039018.0,1297188.84,5039010.45,f40_0250,,,1297188.84,5039010.45,169,9,0,0.0
w_040,2001.953,1545,F40/0250,1297188.5,5039018.0,1297188.84,5039010.45,f40_0250,,,1297188.84,5039010.45,169,9,0,0.0
w_041,2002.159.V1,219,G40/0171,1306215.0,5050149.5,1306204.0,5050203.0,g40_0171,,,1306204.0,5050203.0,57,99,0,1.0
w_042,2002.336,415,F40/0241,1298093.0,5041270.0,1298169.0,5041288.0,f40_0241,,,1298169.0,5041288.0,146,19,0,0.0
w_043,2002.427.V1,254,F40/0259,1297787.0,5050600.5,1297754.59,5050710.35,f40_0259,,,1297754.59,5050710.35,52,15,0,1.0
w_044,2002.798,297,G40/0174,1305150.5,5049002.5,1305076.37,5049009.54,g40_0174,,,1305076.37,5049009.54,69,88,0,1.0
w_045,2003.076.V1,303,G40/0179,1305165.5,5047511.5,1305205.42,5047529.51,g40_0179,,,1305205.42,5047529.51,83,89,0,1.0
w_046,2003.271,323,,1300436.5,5041783.5,,,,,,1300436.5,5041783.5,141,41,0,0.0
w_047,2003.291.V1,324,F40/0056,1296862.0,5039100.5,1296860.47,5039099.78,f40_0056,,,1296860.47,5039099.78,168,6,0,0.0
w_048,2003.315.V1,329,F40/0063,1297198.5,5043174.5,1297173.98,5043163.85,f40_0063,,,1297173.98,5043163.85,127,9,0,0.0
w_049,2003.328.V1,331,,1297604.0,5043820.0,,,,,,1297604.0,5043820.0,121,13,0,0.0
w_050,2003.328.V1,332,,1297604.0,5043820.0,,,,,,1297604.0,5043820.0,121,13,0,0.0
w_051,2001.791.V1,114,F40/0221,1299411.0,5041312.0,1299396.02,5041338.86,f40_0221,,,1299396.02,5041338.86,145,31,0,0.0
w_052,2003.586,65,G40/0189,1301634.5,5042494.5,1301642.01,5042502.3,g40_0189,,,1301642.01,5042502.3,134,53,0,0.0
w_053,2003.963.V1,376,G40/0212,1310153.0,5033522.0,1310165.87,5033557.53,g40_0212,,,1310165.87,5033557.53,223,139,0,0.0
w_054,2005.222.V1,438,F40/0130,1297616.0,5042978.0,1297708.54,5042971.05,f40_0130,,,1297708.54,5042971.05,129,14,0,0.0
w_055,2003.590,345,G40/0196,1306147.333,5053055.333,1306159.0,5053084.0,g40_0196,,,1306159.0,5053084.0,28,99,2,1.0
w_056,2005.201.V1,437,G40/0229,1309337.0,5037289.0,1309284.0,5037203.0,g40_0229,,,1309284.0,5037203.0,187,130,0,0.0
w_057,2004.884.V1,786,G40/0159,1303500.5,5047606.5,1303476.04,5047621.47,g40_0159,,,1303476.04,5047621.47,83,72,0,1.0
w_058,2004.587,1152,G40/0210,1305463.5,5047443.5,1305499.67,5047492.67,g40_0210,1305499.67,5047492.67,1305499.67,5047492.67,84,92,0,1.0
w_059,2004.005.V1,741,G40/0205,1305093.0,5047989.0,1305075.0,5047995.0,g40_0205,1305075.0,5047995.0,1305075.0,5047995.0,79,88,0,1.0
w_060,2003.789.V1,362,G40/0192,1309771.333,5035287.333,1309879.52,5035090.44,g40_0192,1309879.52,5035090.44,1309879.52,5035090.44,208,136,0,0.0
w_061,2003.789.V1,361,G40/0191,1309771.333,5035287.333,1309789.16,5035484.66,g40_0191,1309789.16,5035484.66,1309789.16,5035484.66,204,135,0,0.0
w_062,2003.789.V1,360,G40/0180,1309771.333,5035287.333,1309828.34,5035283.55,g40_0180,1309828.34,5035283.55,1309828.34,5035283.55,206,135,0,0.0
w_063,2003.761,1229,G40/0176,1310219.5,5036423.5,1310200.75,5036457.68,g40_0176,1310200.75,5036457.68,1310200.75,5036457.68,194,139,0,0.0
w_064,2003.754,358,G40/0204,1306029.5,5051822.5,1306624.78,5051797.59,g40_0204,1306624.78,5051797.59,1306624.78,5051797.59,41,103,0,1.0
w_065,2003.634.V1,347,G40/0181,1306192.5,5052095.0,1306261.33,5052091.59,g40_0181,1306261.33,5052091.59,1306261.33,5052091.59,38,100,0,1.0
w_066,2005.369.V2,441,G40/0237,1305271.0,5048928.0,1305314.58,5048960.66,g40_0237,,,1305314.58,5048960.66,69,90,0,1.0
w_067,RM16.085.01,1341,G40/0386,1308690.0,5038380.0,1308709.0,5038385.0,g40_0386,,,1308709.0,5038385.0,175,124,0,0.0
w_068,RM15.246.01,1164,G40/0375,1307970.0,5038570.0,1307970.0,5038570.0,g40_0375,,,1307970.0,5038570.0,173,117,0,1.0
w_069,RM16.057.01,1456,G40/0215,1309179.0,5036786.0,1309136.73,5036788.15,g40_0215,,,1309136.73,5036788.15,191,128,0,0.0
w_070,RM14.280.01,1197,F40/0262,1298816.0,5050048.0,1298811.84,5050063.47,f40_0262,,,1298811.84,5050063.47,58,25,0,1.0
w_071,RM14.165.01,1452,F40/0257,1297824.0,5042885.0,1297823.63,5042985.13,f40_0257,,,1297823.63,5042985.13,129,15,0,0.0
w_072,RM16.196.01.V1,1605,G40/0371,1306547.0,5040018.0,1306547.0,5040018.0,g40_0371,1306547.0,5040018.0,1306547.0,5040018.0,159,102,0,1.0
w_073,RM16.305.01,541,F40/0380,1298782.0,5041652.0,1298779.0,5041655.0,f40_0380,,,1298779.0,5041655.0,142,25,0,0.0
w_074,RM16.305.01,1170,F40/0380,1298782.0,5041652.0,1298779.0,5041655.0,f40_0380,,,1298779.0,5041655.0,142,25,0,0.0
w_075,RM16.203.02,1583,F40/0207,1297924.0,5042384.0,1297924.11,5042384.71,f40_0207,,,1297924.11,5042384.71,135,16,0,0.0
w_076,RM16.203.01,787,F40/0206,1297954.0,5042688.0,1297954.93,5042688.98,f40_0206,,,1297954.93,5042688.98,132,17,0,0.0
w_077,RM16.191.01,1312,F40/0375,1298821.0,5041449.0,1298821.0,5041449.0,f40_0375,,,1298821.0,5041449.0,144,25,0,0.0
w_078,RM16.187.01,660,F40/0133,1297152.0,5051701.0,1297151.49,5051700.78,f40_0133,,,1297151.49,5051700.78,42,9,0,1.0
w_079,RM15.288.02,974,F40/0165,1298772.0,5043013.0,1298775.38,5043011.79,f40_0165,,,1298775.38,5043011.79,129,25,0,0.0
w_080,RM15.010.01,1062,G40/0663,1304630.0,5048790.0,1304657.0,5048809.0,g40_0663,,,1304657.0,5048809.0,71,84,0,1.0
w_081,RM17.077.01,218,F40/0196,1297890.0,5050965.0,1297896.54,5050966.64,f40_0196,,,1297896.54,5050966.64,49,16,0,1.0
w_082,RM17.234.01,1588,G40/0207,1309999.5,5034419.0,1309960.9,5034651.18,g40_0207,,,1309960.9,5034651.18,212,137,0,0.0
w_083,RM18.096.01,1528,G40/0418,1310455.0,5033585.0,1310455.0,5033585.0,g40_0418,,,1310455.0,5033585.0,223,142,0,0.0
w_084,RM18.134.01,901,G40/0219,1300677.0,5047066.0,1300677.0,5047066.0,g40_0219,1300677.22,5047066.26,1300677.22,5047066.26,88,44,0,1.0
w_085,RM17.234.01,1589,G40/0217,1309999.5,5034419.0,1310039.3,5034186.9,g40_0217,,,1310039.3,5034186.9,217,137,0,0.0
w_086,RM16.359.01,788,F40/0208,1298555.0,5042987.0,1298556.22,5042985.62,f40_0208,,,1298556.22,5042985.62,129,23,0,0.0
w_087,RM16.359.02,1484,F40/0205,1298116.5,5042996.5,1298009.0,5042993.0,f40_0205,,,1298009.0,5042993.0,129,17,0,0.0
w_088,RM14.278.01.V1,1297,G40/0287,1303346.0,5053599.0,1303346.21,5053598.97,g40_0287,,,1303346.21,5053598.97,23,70,2,1.0
w_089,RM14.278.01.V1,1407,G40/0287,1303346.0,5053599.0,1303346.21,5053598.97,g40_0287,,,1303346.21,5053598.97,23,70,2,1.0
w_090,RM18.310.01,1524,G40/0414,1305940.0,5053431.0,1305940.0,5053461.0,g40_0414,,,1305940.0,5053461.0,24,96,2,1.0
w_091,RM19.097.01,1181,G40/0103,1302529.0,5040887.0,1302528.81,5040886.63,g40_0103,1302528.81,5040886.63,1302528.81,5040886.63,150,62,0,0.0
w_092,RM19.384.01,1228,G40/0262,1310156.0,5032627.333,1310162.58,5032595.82,g40_0262,,,1310162.58,5032595.82,233,139,0,0.0
w_093,RM19.388.01,582,G40/0046,1303647.0,5048937.0,1303924.7,5048693.58,g40_0046,1303924.7,5048693.58,1303924.7,5048693.58,72,76,0,1.0
w_094,RM19.413.01,591,G40/0050,1305165.0,5038067.0,1305062.0,5038106.0,g40_0050,,,1305062.0,5038106.0,178,88,0,0.0
w_095,RM19.413.01,593,G40/0440,1305165.0,5038067.0,1305208.0,5038075.0,g40_0440,,,1305208.0,5038075.0,178,89,0,0.0
w_096,RM20.257.01,1565,CA13/0106,1301843.0,5047123.0,1301843.0,5047123.0,ca13_0106,1301843.0,5047123.0,1301843.0,5047123.0,88,55,0,1.0
w_097,RM14.342.01,1439,G40/0370,1303862.5,5043022.0,1303931.0,5043017.0,g40_0370,,,1303931.0,5043017.0,129,76,0,1.0
w_098,RM14.342.01,1439,G40/0340,1303862.5,5043022.0,1303789.0,5043035.0,g40_0340,1303789.0,5043035.0,1303789.0,5043035.0,128,75,0,1.0
w_099,RM14.342.01,G40/0422,G40/0370,1303862.5,5043022.0,1303931.0,5043017.0,g40_0370,,,1303931.0,5043017.0,129,76,0,1.0
w_100,RM14.342.01,G40/0422,G40/0340,1303862.5,5043022.0,1303789.0,5043035.0,g40_0340,1303789.0,5043035.0,1303789.0,5043035.0,128,75,0,1.0
w_101,RM14.342.01,1438,G40/0370,1303862.5,5043022.0,1303931.0,5043017.0,g40_0370,,,1303931.0,5043017.0,129,76,0,1.0
w_102,RM14.342.01,1438,G40/0340,1303862.5,5043022.0,1303789.0,5043035.0,g40_0340,1303789.0,5043035.0,1303789.0,5043035.0,128,75,0,1.0
w_103,RM16.158.02.V1,1442,G40/0390,1302382.0,5047503.0,1302327.0,5047352.0,g40_0390,,,1302327.0,5047352.0,85,60,0,1.0
w_104,RM16.158.02.V1,1442,G40/0400,1302382.0,5047503.0,1302417.0,5047690.0,g40_0400,1305350.0,5047917.0,1305350.0,5047917.0,80,90,0,1.0
w_105,RM16.158.02.V1,1442,G40/0391,1302382.0,5047503.0,1302623.0,5048210.0,g40_0391,,,1302623.0,5048210.0,77,63,0,1.0
w_106,RM18.434.01,1574,G40/0355,1310597.667,5034134.333,1310683.0,5034010.0,g40_0355,,,1310683.0,5034010.0,219,144,0,0.0
w_107,RM18.434.01,1574,G40/0356,1310597.667,5034134.333,1310596.0,5034192.0,g40_0356,,,1310596.0,5034192.0,217,143,0,0.0
w_108,RM18.434.01,1574,G40/0369,1310597.667,5034134.333,1310514.0,5034201.0,g40_0369,,,1310514.0,5034201.0,217,142,0,0.0
w_109,RM18.434.01,1575,G40/0355,1310597.667,5034134.333,1310683.0,5034010.0,g40_0355,,,1310683.0,5034010.0,219,144,0,0.0
w_110,RM18.434.01,1575,G40/0356,1310597.667,5034134.333,1310596.0,5034192.0,g40_0356,,,1310596.0,5034192.0,217,143,0,0.0
w_111,RM18.434.01,1575,G40/0369,1310597.667,5034134.333,1310514.0,5034201.0,g40_0369,,,1310514.0,5034201.0,217,142,0,0.0
