,px,py,group,i,j,mx,my,param,k
Grandview Creek,1308251.0,5053263.886498615,flat_east,25,119,1308201.0,5053375.0,main,0
Grandview Creek,1308251.0,5053263.886498615,flat_east,26,117,1308001.0,5053275.0,main,0
Grandview Creek,1308251.0,5053263.886498615,flat_east,26,118,1308101.0,5053275.0,main,0
Grandview Creek,1308251.0,5053263.886498615,flat_east,26,119,1308201.0,5053275.0,main,0
Grandview Creek,1308251.0,5053263.886498615,flat_east,27,117,1308001.0,5053175.0,main,0
Grandview Creek,1308251.0,5053263.886498615,flat_east,27,118,1308101.0,5053175.0,main,0
John Creek,1308051.0,5054688.753691457,flat_east,11,115,1307801.0,5054775.0,main,0
John Creek,1308051.0,5054688.753691457,flat_east,11,116,1307901.0,5054775.0,main,0
John Creek,1308051.0,5054688.753691457,flat_east,11,117,1308001.0,5054775.0,main,0
John Creek,1308051.0,5054688.753691457,flat_east,12,115,1307801.0,5054675.0,main,0
John Creek,1308051.0,5054688.753691457,flat_east,12,116,1307901.0,5054675.0,main,0
John Creek,1308051.0,5054688.753691457,flat_east,12,117,1308001.0,5054675.0,main,0
John Creek,1308051.0,5054688.753691457,flat_east,13,115,1307801.0,5054575.0,main,0
John Creek,1308051.0,5054688.753691457,flat_east,13,116,1307901.0,5054575.0,main,0
John Creek,1308051.0,5054688.753691457,flat_east,13,117,1308001.0,5054575.0,main,0
ss11,1307851.0,5055403.551327671,flat_east,4,113,1307601.0,5055475.0,main,0
ss11,1307851.0,5055403.551327671,flat_east,4,114,1307701.0,5055475.0,main,0
ss11,1307851.0,5055403.551327671,flat_east,4,115,1307801.0,5055475.0,main,0
ss11,1307851.0,5055403.551327671,flat_east,5,113,1307601.0,5055375.0,main,0
ss11,1307851.0,5055403.551327671,flat_east,5,114,1307701.0,5055375.0,main,0
ss11,1307851.0,5055403.551327671,flat_east,5,115,1307801.0,5055375.0,main,0
ss11,1307851.0,5055403.551327671,flat_east,6,113,1307601.0,5055275.0,main,0
ss11,1307851.0,5055403.551327671,flat_east,6,114,1307701.0,5055275.0,main,0
ss11,1307851.0,5055403.551327671,flat_east,6,115,1307801.0,5055275.0,main,0
ss12,1308851.0,5042465.164224914,terrace_east,133,123,1308601.0,5042575.0,main,0
ss12,1308851.0,5042465.164224914,terrace_east,133,124,1308701.0,5042575.0,main,0
ss12,1308851.0,5042465.164224914,terrace_east,134,123,1308601.0,5042475.0,main,0
ss12,1308851.0,5042465.164224914,terrace_east,134,124,1308701.0,5042475.0,main,0
ss12,1308851.0,5042465.164224914,terrace_east,134,125,1308801.0,5042475.0,main,0
ss12,1308851.0,5042465.164224914,terrace_east,135,123,1308601.0,5042375.0,main,0
ss12,1308851.0,5042465.164224914,terrace_east,135,124,1308701.0,5042375.0,main,0
ss12,1308851.0,5042465.164224914,terrace_east,135,125,1308801.0,5042375.0,main,0
ss13,1308251.0,5045016.507039331,terrace_east,108,117,1308001.0,5045075.0,main,0
ss13,1308251.0,5045016.507039331,terrace_east,108,118,1308101.0,5045075.0,main,0
ss13,1308251.0,5045016.507039331,terrace_east,109,117,1308001.0,5044975.0,main,0
ss13,1308251.0,5045016.507039331,terrace_east,109,118,1308101.0,5044975.0,main,0
ss13,1308251.0,5045016.507039331,terrace_east,109,119,1308201.0,5044975.0,main,0
ss13,1308251.0,5045016.507039331,terrace_east,110,117,1308001.0,5044875.0,main,0
ss13,1308251.0,5045016.507039331,terrace_east,110,118,1308101.0,5044875.0,main,0
ss13,1308251.0,5045016.507039331,terrace_east,110,119,1308201.0,5044875.0,main,0
Lagoon Creek,1307951.0,5046524.310550222,terrace_east,93,114,1307701.0,5046575.0,main,0
Lagoon Creek,1307951.0,5046524.310550222,terrace_east,93,115,1307801.0,5046575.0,main,0
Lagoon Creek,1307951.0,5046524.310550222,terrace_east,94,114,1307701.0,5046475.0,main,0
Lagoon Creek,1307951.0,5046524.310550222,terrace_east,94,115,1307801.0,5046475.0,main,0
Lagoon Creek,1307951.0,5046524.310550222,terrace_east,94,116,1307901.0,5046475.0,main,0
Lagoon Creek,1307951.0,5046524.310550222,terrace_east,95,114,1307701.0,5046375.0,main,0
Lagoon Creek,1307951.0,5046524.310550222,terrace_east,95,115,1307801.0,5046375.0,main,0
Lagoon Creek,1307951.0,5046524.310550222,terrace_east,95,116,1307901.0,5046375.0,main,0
Crook Burn,1309909.3807215516,5041425.0,south_east,144,126,1308901.0,5041475.0,se,0
Crook Burn,1309909.3807215516,5041425.0,south_east,144,127,1309001.0,5041475.0,se,0
Crook Burn,1309909.3807215516,5041425.0,south_east,144,128,1309101.0,5041475.0,se,0
Crook Burn,1309909.3807215516,5041425.0,south_east,145,126,1308901.0,5041375.0,se,0
Crook Burn,1309909.3807215516,5041425.0,south_east,145,127,1309001.0,5041375.0,se,0
Crook Burn,1309909.3807215516,5041425.0,south_east,145,128,1309101.0,5041375.0,se,0
Crook Burn,1309909.3807215516,5041425.0,south_east,146,126,1308901.0,5041275.0,se,0
Crook Burn,1309909.3807215516,5041425.0,south_east,146,127,1309001.0,5041275.0,se,0
ss23,1309051.0,5042225.073244826,terrace_east,135,125,1308801.0,5042375.0,main,0
ss23,1309051.0,5042225.073244826,terrace_east,135,126,1308901.0,5042375.0,main,0
ss23,1309051.0,5042225.073244826,terrace_east,136,125,1308801.0,5042275.0,main,0
ss23,1309051.0,5042225.073244826,terrace_east,136,126,1308901.0,5042275.0,main,0
ss23,1309051.0,5042225.073244826,terrace_east,136,127,1309001.0,5042275.0,main,0
ss23,1309051.0,5042225.073244826,terrace_east,137,125,1308801.0,5042175.0,main,0
ss23,1309051.0,5042225.073244826,terrace_east,137,126,1308901.0,5042175.0,main,0
ss23,1309051.0,5042225.073244826,terrace_east,137,127,1309001.0,5042175.0,main,0
ss24,1309351.0,5041417.5458687255,south_east,144,126,1308901.0,5041475.0,se,0
ss24,1309351.0,5041417.5458687255,south_east,144,127,1309001.0,5041475.0,se,0
ss24,1309351.0,5041417.5458687255,south_east,144,128,1309101.0,5041475.0,se,0
ss24,1309351.0,5041417.5458687255,south_east,145,126,1308901.0,5041375.0,se,0
ss24,1309351.0,5041417.5458687255,south_east,145,127,1309001.0,5041375.0,se,0
ss24,1309351.0,5041417.5458687255,south_east,145,128,1309101.0,5041375.0,se,0
ss24,1309351.0,5041417.5458687255,south_east,146,126,1308901.0,5041275.0,se,0
ss24,1309351.0,5041417.5458687255,south_east,146,127,1309001.0,5041275.0,se,0
ss25,1309300.165258164,5041825.0,terrace_east,140,128,1309101.0,5041875.0,main,0
ss25,1309300.165258164,5041825.0,terrace_east,141,128,1309101.0,5041775.0,main,0
ss25,1309300.165258164,5041825.0,terrace_east,141,129,1309201.0,5041775.0,main,0
