Date,Rainfall,PET
9/09/2012,6.9,0.6
10/09/2012,0,1
11/09/2012,0,0.6
12/09/2012,0,0.4
13/09/2012,0,1.3
14/09/2012,0,1.2
15/09/2012,0.6,0.9
16/09/2012,2.2,0.4
17/09/2012,0,1.5
18/09/2012,1.7,0.7
19/09/2012,0,1.5
20/09/2012,0,1.7
21/09/2012,0,1.4
22/09/2012,0,1.9
23/09/2012,0,1.9
24/09/2012,0,1.8
25/09/2012,0.8,1.4
26/09/2012,8.2,1.7
27/09/2012,7.3,0.9
28/09/2012,0,2.2
29/09/2012,0,2.3
30/09/2012,0,1.9
1/10/2012,4.5,0.9
2/10/2012,5.2,2
3/10/2012,0,2
4/10/2012,0,1.3
5/10/2012,0,2.4
6/10/2012,1.7,0.8
7/10/2012,0,1.8
8/10/2012,0,2.4
9/10/2012,7.4,0.8
10/10/2012,0,1.6
11/10/2012,0,1.6
12/10/2012,0,2.7
13/10/2012,20.5,0.9
14/10/2012,6,0.5
15/10/2012,0,2.7
16/10/2012,0,2.9
17/10/2012,0,1.1
18/10/2012,3.1,1.4
19/10/2012,0.8,1
20/10/2012,0,2.1
21/10/2012,9.2,2.3
22/10/2012,3.9,3.3
23/10/2012,0,2.2
24/10/2012,0,2.8
25/10/2012,0,1.9
26/10/2012,2.9,3
27/10/2012,0,1.2
28/10/2012,9.9,1.8
29/10/2012,0,3.9
30/10/2012,0,4
31/10/2012,0,3.8
1/11/2012,0,3.1
2/11/2012,0,2.7
3/11/2012,25.6,3.8
4/11/2012,0,3.3
5/11/2012,0,3.6
6/11/2012,0,3.4
7/11/2012,0,3.7
8/11/2012,0,4.1
9/11/2012,0,4.3
10/11/2012,0,2.6
11/11/2012,2.2,2.1
12/11/2012,1.7,2.7
13/11/2012,0,4
14/11/2012,0,4
15/11/2012,0,2.3
16/11/2012,0,4.5
17/11/2012,3.1,3.2
18/11/2012,29.3,1.7
19/11/2012,0,3.8
20/11/2012,0,4.1
21/11/2012,0,4.6
22/11/2012,0,4.7
23/11/2012,0,4.4
24/11/2012,0,3.6
25/11/2012,0,3.3
26/11/2012,0,4
27/11/2012,0,4.2
28/11/2012,0,4.2
29/11/2012,0,5.2
30/11/2012,0,2.7
1/12/2012,0,3.4
2/12/2012,2.5,1.9
3/12/2012,0,4.2
4/12/2012,0,5.3
5/12/2012,10.2,4.2
6/12/2012,0.9,4.3
7/12/2012,12.2,2.2
8/12/2012,2.7,2.6
9/12/2012,0,3.3
10/12/2012,0,5.8
11/12/2012,0,3.8
12/12/2012,0,5.5
13/12/2012,0,5.6
14/12/2012,0,5.2
15/12/2012,0,3.6
16/12/2012,0,3.4
