Series 1: ,,
X,Y,
11.89279315,19.26070039,
14.76828069,16.14785992,
17.92294179,14.59143969,
20.21216488,13.81322957,
23.75766894,15.17509728,
26.18647881,14.20233463,
28.44778455,13.22957198,
30.56950352,13.81322957,
33.86375138,14.78599222,
36.5717348,16.53696498,
40.73142067,20.42801556,
42.54604873,24.12451362,
47.5711726,29.37743191,
48.77161885,33.46303502,
50.27915601,33.46303502,
51.92627995,32.29571984,
54.18758569,30.35019455,
56.61639555,28.40466926,
57.70517239,29.18287938,
58.71019716,26.84824903,
61.64151942,30.35019455,
64.71242845,30.73929961,
65.74537058,33.85214008,
68.36960193,33.85214008,
72.61303986,31.71206226,
75.54436211,32.29571984,
78.41984966,32.10116732,
80.45781656,31.71206226,
82.88662643,28.98832685,
84.19874211,28.0155642,
86.62755197,28.79377432,
88.72135358,30.54474708,
90.36847752,31.51750973,
91.95976674,30.93385214,
93.18813035,31.3229572,
95.42151874,28.59922179,
98.43659306,25.29182879,
99.74870873,25.68093385,
,,
X - axis,,
X,Y,Actual (yy/mm)
0,0,7601
3.71300819,0,7604
7.202677541,-0.389105058,7607
10.83193367,-0.389105058,7610
14.46118979,-0.389105058,7701
18.03461121,-0.583657588,7704
21.69178469,-0.389105058,7707
25.2652061,-0.583657588,7710
28.86654487,-0.389105058,7801
32.38413158,-0.778210117,7804
35.98547035,-0.778210117,7807
39.69847854,-0.778210117,7810
43.21606525,-0.389105058,7901
46.59406518,-0.389105058,7904
50.05581717,-0.389105058,7907
53.65715594,-0.389105058,7910
57.37016413,-0.194552529,8001
60.83191613,-0.194552529,8004
64.32158548,0,8007
67.83917219,0,8010
71.38467625,0.389105058,8101
74.93018031,0.389105058,8104
78.50360172,-0.194552529,8107
82.04910579,0,8110
85.53877514,0,8201
89.00052713,0.194552529,8204
92.51811384,0.389105058,8207
96.20320467,0.389105058,8210
99.77662609,0.194552529,8301
,,
Y - axis,,
X,Y,Actual (cm)
-2.9034049,0.194552529,31000
-2.95923961,24.90272374,32000
-2.931322255,49.61089494,33000
-2.95923961,74.31906615,34000
-2.95923961,99.02723735,35000
