#,m3/s,m3/s,l/s,l/s,
date,Graview Ck at LHS m3/s,Lagoon Ck at MGH m3/s,Grandview Ck at LHS l/s,Lagoon Ck at MGH l/s,Luggate (Nat) l/s
5/11/2017 0:00,0.056984705,0.031580708,56.984705,31.580708,956
6/11/2017 0:00,0.053069477,0.030049882,53.069477,30.049882,921
7/11/2017 0:00,0.061015914,0.03030846,61.015914,30.30846,884
8/11/2017 0:00,0.12122401,0.061297292,121.22401,61.297292,907
9/11/2017 0:00,0.088062142,0.042815995,88.062142,42.815995,832
10/11/2017 0:00,0.070936683,0.034502622,70.936683,34.502622,814
11/11/2017 0:00,0.062145771,0.02957761,62.145771,29.57761,816
12/11/2017 0:00,0.060530328,0.028123402,60.530328,28.123402,850
13/11/2017 0:00,0.058055778,0.026111691,58.055778,26.111691,817
14/11/2017 0:00,0.053885373,0.024799264,53.885373,24.799264,794
15/11/2017 0:00,0.05009991,0.022824573,50.09991,22.824573,778
16/11/2017 0:00,0.045475823,0.021883296,45.475823,21.883296,773
17/11/2017 0:00,0.04146432,0.021667562,41.46432,21.667562,779
18/11/2017 0:00,0.037976138,0.020896263,37.976138,20.896263,772
19/11/2017 0:00,0.035450953,0.019523208,35.450953,19.523208,749
20/11/2017 0:00,0.034271942,0.020338177,34.271942,20.338177,740
21/11/2017 0:00,0.031674247,0.019663897,31.674247,19.663897,715
22/11/2017 0:00,0.030025815,0.018467737,30.025815,18.467737,748
23/11/2017 0:00,0.029377766,0.017755504,29.377766,17.755504,758
24/11/2017 0:00,0.028832388,0.018190784,28.832388,18.190784,761
25/11/2017 0:00,0.030605232,0.019814384,30.605232,19.814384,752
26/11/2017 0:00,0.033737171,0.022810487,33.737171,22.810487,705
27/11/2017 0:00,0.031108146,0.019273373,31.108146,19.273373,715
28/11/2017 0:00,0.030929187,0.017349091,30.929187,17.349091,723
29/11/2017 0:00,0.029557211,0.016463434,29.557211,16.463434,714
30/11/2017 0:00,0.025888479,0.016220217,25.888479,16.220217,688
1/12/2017 0:00,0.023453811,0.01489574,23.453811,14.89574,714
2/12/2017 0:00,0.02224216,0.014698829,22.24216,14.698829,696
3/12/2017 0:00,0.022292598,0.014368474,22.292598,14.368474,578
4/12/2017 0:00,0.020738259,0.014016626,20.738259,14.016626,596
5/12/2017 0:00,0.02106896,0.014083703,21.06896,14.083703,725
6/12/2017 0:00,0.019984075,0.01349409,19.984075,13.49409,879
7/12/2017 0:00,0.018316449,0.013337236,18.316449,13.337236,823
8/12/2017 0:00,0.018723171,0.0139166,18.723171,13.9166,783
9/12/2017 0:00,0.036846948,0.019988966,36.846948,19.988966,696
10/12/2017 0:00,0.024592433,0.017130789,24.592433,17.130789,756
11/12/2017 0:00,0.021981368,0.016507176,21.981368,16.507176,746
12/12/2017 0:00,0.024005921,0.017633022,24.005921,17.633022,759
13/12/2017 0:00,0.025662221,0.018210256,25.662221,18.210256,754
14/12/2017 0:00,0.023360644,0.018440588,23.360644,18.440588,718
15/12/2017 0:00,0.021426859,0.016578193,21.426859,16.578193,683
16/12/2017 0:00,0.020633994,0.016011829,20.633994,16.011829,701
