ConsentID,WellNumber,MaxFlowRate,StreamDepletionFlow,MaxHourlyVolume,MaxdailyVolume,MaxWeeklyVolume,MaxMonthlyVolume,MaxYearlyVolume,Aquifer,B1_APPL_STATUS,#Wells,WM_Accela,#WaterMeters,FMU,Rohe,Type,WellsDtbAquifer,B1_X_COORD,B1_Y_COORD,EastingTM,NorthingTM,ConsentCommencementDate,ConsentExpiryDate,ConsentIssued,Consumptive,USE1,USE2
2001.716.V1,,28.3,,,,,,,,Expired – Pending Application,,WM0686,1,,,Surface Take,,1325894,5008112.5,,,09/17/2002,10/01/2021,09/17/2002,Yes,,
2001.719.V1,,113.2,,,,,,,,Expired – Pending Application,,WM0689,1,,,Surface Take,,1332090.667,5005169.667,,,09/17/2002,10/01/2021,09/17/2002,Yes,,
2002.035.V2,,,,,,,,,,Current,,,,,,Surface Take,,1425919.25,5013995.25,,,05/02/2002,03/02/2030,05/02/2002,Yes,,
2002.663.V1,,,,,,,,,,Current,,,,,,Surface Take,,1362478,5021921,,,02/07/2003,12/01/2037,02/07/2003,Yes,,
2003.289,,120,,,,,,,,Current,,,,,,Surface Take,,1268885,5063988,,,05/21/2003,05/20/2038,05/21/2003,No,,
2003.914,,,,,,,,,,Current,,,,,,Surface Take,,1360625,4974201,,,08/26/2005,08/01/2040,08/26/2005,No,,
2003.915,,,,,,,,,,Current,,,,,,Surface Take,,1361029,4970500,,,08/26/2005,08/01/2040,08/26/2005,No,,
2004.071,,,,,,,,,,Current,,,,,,Surface Take,,1398034,4974344,,,02/24/2005,08/01/2039,02/24/2005,No,,
2004.080,,,,,,,,,,Current,,,,,,Surface Take,,1398135,4973644,,,02/18/2005,08/01/2039,02/18/2005,No,,
2004.083,,,,,,,,,,Current,,,,,,Surface Take,,1399834,4974846,,,02/24/2005,08/01/2039,02/24/2005,No,,
2005.273,,,,,,,,,,Current,,,,,,Surface Take,,1377351,4956616,,,08/02/2005,01/01/2027,08/02/2005,Yes,,
2005.274,,,,,,,,,,Current,,,,,,Surface Take,,1377950,4957417,,,08/02/2005,01/01/2027,08/02/2005,Yes,,
2005.451.V1,,,,,,,,,,Current,,WM0825,1,,,Surface Take,,1281454,4990224,,,11/17/2005,11/01/2025,11/17/2005,No,,
2006.632,,,,,,,,,,Current,,,,,,Surface Take,,1302521,5053496,,,07/16/2007,07/20/2042,07/16/2007,No,,
2007.147.V1,,1500,,,,,,,,Current,,WM0012,1,,,Surface Take,,1330671,4928940,,,09/17/2007,09/12/2042,09/17/2007,No,,
2007.267,,,,,,,,,,Current,,,,,,Surface Take,,1263721,5005022,,,09/04/2007,09/03/2042,09/04/2007,No,,
2007.628.V1,,1100,,,,,,,,Current,,Ox Burn,1,,,Surface Take,,1238169,5032634,,,12/18/2008,12/12/2043,12/18/2008,No,,
2007.628.V1,,1100,,,,,,,,Current,,WM0892,1,,,Surface Take,,1238169,5032634,,,12/18/2008,12/12/2043,12/18/2008,No,,
2007.630,,,,,,,,,,Current,,,,,,Surface Take,,1238169,5032634,,,12/18/2008,12/12/2043,12/18/2008,No,,
2008.169.V3,,,22.5,,,,,,,Current,,WM1314,1,,,Surface Take,,1418597,4965490,,,08/21/2009,08/18/2024,08/21/2009,Yes,,
2008.237,,100,,,,,,,,Current,,,,,,Surface Take,,1401047,4972247,,,07/18/2008,07/15/2043,07/18/2008,No,,
2009.188.V1,,,,,,,,,,Current,,WM0490,3,,,Surface Take,,1411533,4976459,,,04/29/2010,09/01/2024,04/29/2010,Yes,,
2009.188.V1,,,,,,,,,,Current,,WM0493,3,,,Surface Take,,1411533,4976459,,,04/29/2010,09/01/2024,04/29/2010,Yes,,
2009.188.V1,,,,,,,,,,Current,,WM0494,3,,,Surface Take,,1411533,4976459,,,04/29/2010,09/01/2024,04/29/2010,Yes,,
2009.240.V3,,10.5,10.5,,,,,,,Current,,WM1314,1,,,Surface Take,,1418597,4965490,,,08/21/2009,08/01/2024,08/21/2009,Yes,,
2009.432.V1,,,,,,,,,,Current,,WM1068,1,,,Surface Take,,1334879,5006089,,,05/12/2010,10/01/2026,05/12/2010,Yes,,
3839B,,,,,,,,,,Current,,,,,,Groundwater Take,,1399215,4912841,,,03/04/1994,10/01/2023,03/04/1994,No,Waste/Sewage Treatment,Waste/Sewage Treatment
3839D,,,,,,,,,,Current,,,,,,Surface Take,,1399215,4912841,,,03/04/1994,10/01/2023,03/04/1994,No,,
3840B,,,,,,,,,,Current,,,,,,Surface Take,,1399215,4912841,,,03/04/1994,10/01/2023,03/04/1994,No,,
4006.V1,,,83.3,,,,,,,Expired – Pending Application,,WM0505,1,,,Surface Take,,1322172,5004977,,,07/23/2001,10/01/2021,07/23/2001,Yes,,
93134,,,,,,,,,,Expired – Pending Application,,WM0735,1,,,Surface Take,,1305919,4953822,,,09/16/1997,10/01/2021,09/16/1997,Yes,,
93136,,,,,,,,,,Expired – Pending Application,,WM0735,1,,,Surface Take,,1305919,4953822,,,09/16/1997,10/01/2021,09/16/1997,Yes,,
93463,,13.88,,,,,,,,Expired – Pending Application,,WM0257,1,,,Surface Take,,1297013,5000617,,,12/13/1993,10/01/2021,12/13/1993,Yes,,
94325.V1,,83.33,,,,,,,,Expired – Pending Application,,WM0521,1,,,Surface Take,,1311172.5,4957247.5,,,12/17/1997,10/01/2021,12/17/1997,Yes,,
95090,,,,,,,,,,Expired – Pending Application,,WM0141,1,,,Surface Take,,1372228,4975115,,,12/06/1995,10/01/2021,12/06/1995,Yes,,
