datetime,head
1976-10-29 07:06:23.550330848,318.5202506554657
1976-11-19 04:08:47.084709664,317.9654247099397
1976-12-25 08:41:03.153693760,317.1734249863184
1977-02-06 14:51:45.890517824,316.7570851654054
1977-03-15 14:51:31.092479488,316.703785905504
1977-05-12 04:06:41.880295712,316.9365777927324
1977-07-18 04:49:44.000253824,317.90886915403087
1977-08-19 05:43:24.921332512,317.51408683779755
1977-09-22 08:15:32.742285088,317.17631348358304
1977-10-20 03:20:07.768839200,316.7243319626088
1977-11-18 22:41:49.797437536,316.4998155739289
1977-12-23 09:10:23.011719040,316.5030021116569
1978-01-29 03:03:38.496146592,317.18829868424893
1978-03-29 15:14:17.553839776,317.70532685929146
1978-06-22 13:42:35.295402752,319.4746973848451
1978-08-11 16:17:54.255146528,320.31694576146486
1978-10-13 05:46:00.051173952,321.93381572301234
1978-12-22 07:56:43.240734912,324.4400354668462
1979-01-24 10:34:47.498826432,325.44296048985336
1979-02-19 18:19:45.018646592,325.83417270783355
1979-03-23 21:05:55.938251968,326.3925623480421
1979-04-06 12:52:09.509943680,326.8382137975974
1979-05-04 06:06:38.472594304,326.8406784456912
1979-05-29 21:44:59.213746816,328.2318395113518
1979-07-05 08:30:50.147691968,327.6795417321597
1979-08-01 15:29:06.183984704,327.293165802113
1979-10-25 14:53:49.950768128,324.5788152017003
1979-12-05 21:34:28.032508544,324.8048961225305
1980-01-05 11:19:58.519659904,325.9188387339471
1980-01-26 09:16:04.429819264,325.5873670605997
1980-02-29 21:59:24.911929408,326.2570998080156
1980-04-09 02:19:26.793298816,326.3716981112756
1980-05-10 19:44:58.149892544,326.65231126386175
1980-06-15 16:42:20.009600384,326.21107757922454
1980-07-09 03:22:58.960108160,326.3242807990386
1980-08-06 09:23:10.066964544,327.60456378261597
1980-09-29 05:18:43.489275520,327.05380059319606
1980-11-26 02:39:14.071606336,326.1701241489107
1981-01-13 20:22:31.644354752,326.0634313171651
1981-03-15 16:46:54.891022016,326.7357217168924
1981-04-16 21:10:10.142550272,327.0164743798415
1981-06-06 15:51:56.218332928,327.0211711574121
1981-07-18 18:01:30.175637760,326.5249867099301
1981-08-21 01:15:43.626313088,326.02791870623525
1981-10-31 17:59:30.302283968,324.200964779358
1981-12-20 09:05:56.458902336,324.816537311888
1982-03-05 10:52:44.751740160,326.15651434202607
1982-04-12 02:15:24.480931072,326.6598602151724
1982-05-21 16:24:10.647681664,326.71899622431806
1982-06-26 16:03:19.711881344,326.5000302270435
1982-08-17 05:24:26.136545216,324.39381172488055
1982-09-26 07:50:50.383782016,322.84207662927764
1982-10-26 16:34:36.322961920,322.178156726189
1982-12-03 02:40:43.058559872,322.07039432979553
1983-01-03 07:39:56.447812800,323.2954010317303
