datetime,head
1975-12-29 06:36:09.800743648,345.33895731047863
1976-01-03 09:29:21.218938560,345.37826705316957
1976-02-02 13:35:03.921556416,346.13004857787405
1976-02-16 05:17:33.744995616,346.24810228889726
1976-02-26 23:53:44.844313152,345.33460032054404
1976-03-13 21:03:26.076177344,344.04888208766107
1976-03-28 02:01:19.833041120,343.68196888544804
1976-04-27 11:33:46.490852160,340.75299668270196
1976-05-02 21:44:06.358194048,340.75261412733386
1976-05-19 03:14:36.158872992,339.56945160394946
1976-05-27 13:48:10.729263968,339.6528708539646
1976-06-04 10:04:22.250662784,339.93731757596055
1976-06-14 16:22:15.098545536,340.4243957020298
1976-06-20 16:54:08.344693408,340.30202045911466
1976-06-30 21:54:50.067492544,339.2722119382598
1976-07-16 21:07:14.304421664,337.50630428433544
1976-08-16 15:11:11.803630720,334.24099577956935
1976-08-31 10:08:45.136288032,332.857831052766
1976-09-09 21:02:15.493185312,331.63764912516376
1976-09-22 21:13:40.194636736,330.21396185776064
1976-10-18 05:08:57.852980448,327.8507913546926
1976-11-01 22:59:44.018071744,327.84970213304626
1976-11-10 19:01:51.818677664,327.51571817229376
1976-11-20 05:15:15.973476832,327.223356947082
1976-12-03 04:42:25.548152128,327.30573104110636
1976-12-06 18:18:38.336618496,328.13879570033896
1976-12-20 22:34:52.880652384,328.84607720848237
1977-01-01 03:51:39.828174304,329.3869113470728
1977-01-06 22:51:33.942776320,330.04371050402966
1977-01-30 01:21:18.246064448,330.8143614163674
1977-01-31 05:18:52.244496800,331.1394768908838
1977-03-01 16:07:21.139874048,331.90966023470395
1977-03-21 07:20:20.339945920,332.43666581693594
1977-03-31 02:45:50.902137440,332.4765932730987
1977-04-13 14:49:51.336193632,332.92276630066357
1977-04-28 21:24:18.166098976,333.20621156847596
1977-05-06 12:58:47.975985952,333.6934597183078
1977-05-18 20:54:05.266203424,333.733217150708
1977-05-27 02:27:52.872472352,334.09847261299274
1977-06-20 04:37:27.019719744,334.665830712062
1977-07-01 08:38:17.320237088,334.7910193477082
1977-07-07 23:43:57.545209184,335.2107078148411
1977-08-13 12:58:21.648772896,331.57255802024815
1977-09-10 19:17:33.130459232,331.6112102918506
1977-10-01 04:02:55.520910208,329.4500280279216
1977-10-28 07:37:33.561214944,330.0631074836994
1977-11-24 11:46:53.856382944,331.3619541496799
1977-12-16 22:11:52.393654528,332.0513899519824
1977-12-22 05:57:17.256089344,332.4981580665209
1978-01-17 04:17:15.119447168,333.1466887703189
1978-01-23 15:55:42.075787392,333.55272181265207
1978-02-23 20:30:15.684783168,333.9163195324719
1978-03-24 02:19:08.797982752,334.0768794810085
1978-03-28 05:33:16.413506688,334.5643826702889
1978-04-12 18:00:37.218927264,335.14804085795276
1978-04-21 03:09:54.200619392,335.14742576004403
1978-05-04 07:34:34.216902208,335.5246137571319
1978-05-10 21:37:34.694567424,335.5241304636706
1978-05-15 17:21:58.493113280,336.4901740255965
1978-05-30 02:18:23.471445728,336.6151710961718
1978-06-08 16:32:34.824727296,337.034639883982
1978-06-15 06:48:01.350447552,337.2862596474016
1978-07-05 11:45:22.216193312,337.494851712499
1978-07-18 19:11:08.806007008,337.53585836734436
1978-08-12 02:41:53.220465024,337.87015047580115
1978-08-12 03:15:56.175945792,338.58444246461636
1978-08-27 18:52:35.874692960,339.42359971955943
1978-09-08 22:37:58.081922016,339.59074577378783
1978-09-22 20:24:59.560894912,340.2019467817958
1978-09-26 08:12:16.716099456,340.7707925970309
1978-10-13 05:59:05.301608992,341.135452972342
1978-10-18 04:37:59.609516160,342.1513644468707
1978-11-01 07:37:43.352909920,342.63818753602794
1978-11-06 05:38:24.642054144,342.9223979145765
1978-11-15 10:35:19.679765504,343.08436056612936
1978-11-24 01:01:45.362586496,343.49026609000646
1978-11-27 17:42:21.421165536,343.8965116614086
1978-12-25 08:56:27.796936800,344.8256760954567
1979-01-11 12:56:22.429441632,345.14197981663904
1979-01-23 03:54:40.684065024,344.9030922208883
1979-02-17 06:49:10.079529344,345.41727249594965
1979-02-22 19:31:24.778328576,345.9327806188642
1979-03-07 16:07:49.065253312,345.9715924198483
1979-03-17 11:43:36.635414208,346.5264932740874
1979-03-25 10:51:11.586715392,346.64500343002436
1979-04-09 01:07:25.716228992,345.96939317648446
1979-04-15 02:57:50.883589568,346.24676061373225
1979-05-03 22:26:58.775985472,346.40420705608
1979-05-16 02:01:31.152998080,346.8398923336625
1979-06-14 18:31:56.932139904,345.80609591660533
1979-07-12 11:32:51.522872640,345.28830555921706
1979-08-13 01:21:50.365489792,342.86219501883284
1979-09-03 11:57:39.064134144,341.0314120536054
