datetime,head
1978-06-01 13:46:14.958273504,322.98983739854657
1978-07-02 02:20:20.603401984,323.81300813244775
1978-07-28 00:40:02.509377696,323.72154471532394
1978-10-29 06:09:04.203979104,326.617886178073
1978-12-19 06:50:39.500091264,328.569105693522
1979-02-05 20:19:36.641780000,329.6666666666667
1979-04-05 19:43:56.946480000,331.20987654533195
1979-04-16 03:14:00.321617280,330.96296296523667
1979-05-01 14:06:42.858078912,330.96296296523667
1979-05-28 10:17:08.210269632,332.38271605180796
1979-07-21 18:03:44.291300352,330.96296296523667
1979-10-19 08:14:25.146497472,327.4105691076138
1979-11-30 05:34:29.782334272,328.08130081567043
1980-01-06 08:57:41.890560000,329.913580246762
1980-02-25 02:42:02.765291712,329.913580246762
1980-05-09 09:09:31.771044544,330.22222222495066
1980-06-15 08:50:28.240266240,329.79012345876066
1980-08-03 17:51:39.870333824,331.08641975323803
1980-11-22 12:05:12.301768640,328.752032523727
1981-02-19 16:14:23.671082944,329.6666666666667
1981-03-31 03:19:18.759372544,330.8395061731427
1981-04-22 10:49:13.282505600,330.96296296523667
1981-05-15 21:39:38.508892736,330.90123457123593
1981-10-26 03:18:00.672657664,326.92276422976227
1981-12-09 23:08:11.760678784,327.5325203250554
1982-01-16 03:28:27.570428352,328.752032523727
1982-02-19 06:50:16.789587392,329.60569105794593
1982-03-12 22:04:09.701947328,329.85185185276134
1982-04-19 10:48:05.212135232,330.5308641990467
1982-05-02 16:28:58.399794560,330.5308641990467
1982-06-30 18:04:13.531212672,329.23983740157854
1982-09-09 07:02:25.128701440,325.39837398344406
1982-09-28 17:31:57.896264320,324.4227642277409
1982-10-29 09:50:54.644396864,323.7520325196843
1983-01-03 01:49:56.220131328,326.800813008278
