name,k,i,j,x,y
bore_13,2,32,70,1303333.7774532323,5052685.790192231
bore_315,2,28,90,1305326.3164650956,5053050.956379962
bore_513,2,44,73,1303607.7877359095,5051488.252794618
bore_515,2,44,81,1304440.3392187017,5051497.157088551
bore_butterfields,2,70,83,1304585.0339951229,5048863.712157688
