datetime,head
1976-10-27 21:24:55.381919744,317.3832020986827
1977-01-08 17:37:29.992859808,316.123359577997
1977-03-29 04:29:59.998639968,315.4934383196778
1977-05-25 04:23:48.996638112,315.1784776884946
1977-08-23 04:29:59.994091392,315.7296587930652
1977-10-24 12:50:13.956568128,315.3359580040862
1977-12-21 07:15:20.934852224,314.94225721510713
1978-02-13 13:42:51.438922688,315.1784776884946
1978-05-08 09:18:08.361769408,315.5721784774736
1978-07-15 12:37:53.681957056,316.2808398935886
1978-10-28 00:22:51.430544192,317.8556430414103
1978-12-14 11:25:42.848534368,319.35170603548346
1979-04-26 16:27:05.814327616,321.4776902886821
1979-05-28 05:48:23.223242176,323.1312335950357
1979-07-06 16:55:48.840631296,323.1312335950357
1979-08-17 18:47:26.529251136,322.6587926480505
1979-10-14 03:25:42.875492544,321.87139107378914
1979-12-13 07:45:33.834425536,321.0839894995277
1980-01-09 19:21:17.423750784,321.3989501308512
1980-02-05 05:25:09.672290816,320.45406824092805
1980-04-22 02:41:16.801802432,321.87139107378914
1980-07-11 05:20:00.005021632,322.02887138945084
1980-08-07 05:42:51.435565824,323.2887139106974
1980-10-14 18:19:50.548356608,323.2887139106974
1981-02-01 04:20:47.241158720,322.4225721786052
1981-04-16 15:22:29.989342528,322.6587926480505
1981-06-28 20:48:45.009454144,322.5800524942669
1981-08-20 17:00:28.342573056,322.4225721786052
1981-10-23 01:55:11.990888768,321.3202099730203
1981-11-26 16:07:40.800911104,320.926509183866
1982-01-29 07:21:17.406855488,321.2414698151895
1982-03-24 17:48:23.220371904,321.95013123162
1982-05-06 09:20:00.006208768,322.3438320207743
1982-06-16 13:19:59.992904256,322.10761154728175
1982-07-17 17:27:16.353831744,322.26509186294345
1982-09-11 11:38:10.916934592,321.1627296573586
1982-11-27 12:00:00.005561024,319.8241469782812
1982-12-31 06:44:59.988530304,319.9816272939429
