,Site,nztmx,nztmy,Water depth,Collar level,Collar elevation,Static water level,head,i,j,ibound,use_datetime,k
0,Devon East,1304394.8,5046062.9,96.5,0.33,390.269,96.17,294.099,98,81,1.0,2019-08-01,0
1,Devon Silos,1302315.2,5045980.5,76.13,0.35,374.124,75.78,298.34400000000005,99,60,1.0,2019-08-01,0
2,G40/0009,1305531.3,5040688.5,20.69,-0.66,274.873,21.35,253.523,152,92,1.0,2019-08-01,0
3,G40/0054,1305493.5,5046167.7,93.35,0.0,300.17999999999995,0.0,300.17999999999995,97,92,1.0,2019-08-01,0
4,G40/0169,1307835.4,5042978.8,31.33,0.3,345.193,31.029999999999998,314.163,129,115,1.0,2019-08-01,0
5,Spring C,1305457.95,5042345.41,0.0,0.0,540.0,270.0,270.0,135,92,1.0,2019-08-01,0
6,Spring E,1305597.819,5042338.604,0.0,0.0,538.0,269.0,269.0,135,93,1.0,2019-08-01,0
7,Spring Mid,1302282.651,5043773.719,0.0,0.0,544.0,272.0,272.0,121,60,1.0,2019-08-01,0
8,Spring W,1305043.9,5042220.46,0.0,0.0,542.0,271.0,271.0,137,87,1.0,2019-08-01,0
9,Wetland,1303557.808,5043424.92,0.0,0.0,547.4,273.7,273.7,125,73,1.0,2019-08-01,0
10,Devon East,1304394.8,5046062.9,96.5,0.33,390.269,96.17,294.099,98,81,1.0,2019-08-02,0
11,Devon Silos,1302315.2,5045980.5,76.13,0.35,374.124,75.78,298.34400000000005,99,60,1.0,2019-08-02,0
12,G40/0009,1305531.3,5040688.5,20.69,-0.66,274.873,21.35,253.523,152,92,1.0,2019-08-02,0
13,G40/0054,1305493.5,5046167.7,93.35,0.0,300.17999999999995,0.0,300.17999999999995,97,92,1.0,2019-08-02,0
14,G40/0169,1307835.4,5042978.8,31.33,0.3,345.193,31.029999999999998,314.163,129,115,1.0,2019-08-02,0
15,Spring C,1305457.95,5042345.41,0.0,0.0,540.0,270.0,270.0,135,92,1.0,2019-08-02,0
16,Spring E,1305597.819,5042338.604,0.0,0.0,538.0,269.0,269.0,135,93,1.0,2019-08-02,0
17,Spring Mid,1302282.651,5043773.719,0.0,0.0,544.0,272.0,272.0,121,60,1.0,2019-08-02,0
18,Spring W,1305043.9,5042220.46,0.0,0.0,542.0,271.0,271.0,137,87,1.0,2019-08-02,0
19,Wetland,1303557.808,5043424.92,0.0,0.0,547.4,273.7,273.7,125,73,1.0,2019-08-02,0
20,Devon East,1304394.8,5046062.9,96.5,0.33,390.269,96.17,294.099,98,81,1.0,2019-08-03,0
21,Devon Silos,1302315.2,5045980.5,76.13,0.35,374.124,75.78,298.34400000000005,99,60,1.0,2019-08-03,0
22,G40/0009,1305531.3,5040688.5,20.69,-0.66,274.873,21.35,253.523,152,92,1.0,2019-08-03,0
23,G40/0054,1305493.5,5046167.7,93.35,0.0,300.17999999999995,0.0,300.17999999999995,97,92,1.0,2019-08-03,0
24,G40/0169,1307835.4,5042978.8,31.33,0.3,345.193,31.029999999999998,314.163,129,115,1.0,2019-08-03,0
25,Spring C,1305457.95,5042345.41,0.0,0.0,540.0,270.0,270.0,135,92,1.0,2019-08-03,0
26,Spring E,1305597.819,5042338.604,0.0,0.0,538.0,269.0,269.0,135,93,1.0,2019-08-03,0
27,Spring Mid,1302282.651,5043773.719,0.0,0.0,544.0,272.0,272.0,121,60,1.0,2019-08-03,0
28,Spring W,1305043.9,5042220.46,0.0,0.0,542.0,271.0,271.0,137,87,1.0,2019-08-03,0
29,Wetland,1303557.808,5043424.92,0.0,0.0,547.4,273.7,273.7,125,73,1.0,2019-08-03,0
30,Devon East,1304394.8,5046062.9,96.5,0.33,390.269,96.17,294.099,98,81,1.0,2019-08-04,0
31,Devon Silos,1302315.2,5045980.5,76.13,0.35,374.124,75.78,298.34400000000005,99,60,1.0,2019-08-04,0
32,G40/0009,1305531.3,5040688.5,20.69,-0.66,274.873,21.35,253.523,152,92,1.0,2019-08-04,0
33,G40/0054,1305493.5,5046167.7,93.35,0.0,300.17999999999995,0.0,300.17999999999995,97,92,1.0,2019-08-04,0
34,G40/0169,1307835.4,5042978.8,31.33,0.3,345.193,31.029999999999998,314.163,129,115,1.0,2019-08-04,0
35,Spring C,1305457.95,5042345.41,0.0,0.0,540.0,270.0,270.0,135,92,1.0,2019-08-04,0
36,Spring E,1305597.819,5042338.604,0.0,0.0,538.0,269.0,269.0,135,93,1.0,2019-08-04,0
37,Spring Mid,1302282.651,5043773.719,0.0,0.0,544.0,272.0,272.0,121,60,1.0,2019-08-04,0
38,Spring W,1305043.9,5042220.46,0.0,0.0,542.0,271.0,271.0,137,87,1.0,2019-08-04,0
39,Wetland,1303557.808,5043424.92,0.0,0.0,547.4,273.7,273.7,125,73,1.0,2019-08-04,0
40,Devon East,1304394.8,5046062.9,96.5,0.33,390.269,96.17,294.099,98,81,1.0,2019-08-05,0
41,Devon Silos,1302315.2,5045980.5,76.13,0.35,374.124,75.78,298.34400000000005,99,60,1.0,2019-08-05,0
42,G40/0009,1305531.3,5040688.5,20.69,-0.66,274.873,21.35,253.523,152,92,1.0,2019-08-05,0
43,G40/0054,1305493.5,5046167.7,93.35,0.0,300.17999999999995,0.0,300.17999999999995,97,92,1.0,2019-08-05,0
44,G40/0169,1307835.4,5042978.8,31.33,0.3,345.193,31.029999999999998,314.163,129,115,1.0,2019-08-05,0
45,Spring C,1305457.95,5042345.41,0.0,0.0,540.0,270.0,270.0,135,92,1.0,2019-08-05,0
46,Spring E,1305597.819,5042338.604,0.0,0.0,538.0,269.0,269.0,135,93,1.0,2019-08-05,0
47,Spring Mid,1302282.651,5043773.719,0.0,0.0,544.0,272.0,272.0,121,60,1.0,2019-08-05,0
48,Spring W,1305043.9,5042220.46,0.0,0.0,542.0,271.0,271.0,137,87,1.0,2019-08-05,0
49,Wetland,1303557.808,5043424.92,0.0,0.0,547.4,273.7,273.7,125,73,1.0,2019-08-05,0
50,Devon East,1304394.8,5046062.9,96.5,0.33,390.269,96.17,294.099,98,81,1.0,2019-08-06,0
51,Devon Silos,1302315.2,5045980.5,76.13,0.35,374.124,75.78,298.34400000000005,99,60,1.0,2019-08-06,0
52,G40/0009,1305531.3,5040688.5,20.69,-0.66,274.873,21.35,253.523,152,92,1.0,2019-08-06,0
53,G40/0054,1305493.5,5046167.7,93.35,0.0,300.17999999999995,0.0,300.17999999999995,97,92,1.0,2019-08-06,0
54,G40/0169,1307835.4,5042978.8,31.33,0.3,345.193,31.029999999999998,314.163,129,115,1.0,2019-08-06,0
55,Spring C,1305457.95,5042345.41,0.0,0.0,540.0,270.0,270.0,135,92,1.0,2019-08-06,0
56,Spring E,1305597.819,5042338.604,0.0,0.0,538.0,269.0,269.0,135,93,1.0,2019-08-06,0
57,Spring Mid,1302282.651,5043773.719,0.0,0.0,544.0,272.0,272.0,121,60,1.0,2019-08-06,0
58,Spring W,1305043.9,5042220.46,0.0,0.0,542.0,271.0,271.0,137,87,1.0,2019-08-06,0
59,Wetland,1303557.808,5043424.92,0.0,0.0,547.4,273.7,273.7,125,73,1.0,2019-08-06,0
60,Devon East,1304394.8,5046062.9,96.5,0.33,390.269,96.17,294.099,98,81,1.0,2019-08-07,0
61,Devon Silos,1302315.2,5045980.5,76.13,0.35,374.124,75.78,298.34400000000005,99,60,1.0,2019-08-07,0
62,G40/0009,1305531.3,5040688.5,20.69,-0.66,274.873,21.35,253.523,152,92,1.0,2019-08-07,0
63,G40/0054,1305493.5,5046167.7,93.35,0.0,300.17999999999995,0.0,300.17999999999995,97,92,1.0,2019-08-07,0
64,G40/0169,1307835.4,5042978.8,31.33,0.3,345.193,31.029999999999998,314.163,129,115,1.0,2019-08-07,0
65,Spring C,1305457.95,5042345.41,0.0,0.0,540.0,270.0,270.0,135,92,1.0,2019-08-07,0
66,Spring E,1305597.819,5042338.604,0.0,0.0,538.0,269.0,269.0,135,93,1.0,2019-08-07,0
