Zonal inflows to the new allocation zones for the ORC bespoke request on 11-11-2025
# All values in m3/year
,Sandy Point,Te Awa,Maungawera Flat,Camp Hill Moraine,Mangawera Valley,Hawea Flat,Grandview Zone,Butterfield Exclusion,Terrace-Hill,Terrace-River,Campbell's Exclusion
mean_lsr,566669.3191709411,285224.7432441191,723220.6539667698,54250.34062525639,957780.5620669809,3551924.77581737,699820.1059965809,332587.56535414176,4015342.7475192714,1326932.0969368257,232624.10691070516
hill_losses,0.0,71973.62832795762,0.0,25530.87966832568,313265.0947245836,4302.25966048186,440592.4154524541,0.0,1190453.1280174847,0.0,0.0
race_losses,0.0,232676.70706297216,0.0,42861.49866949487,0.0,1163383.5353148608,0.0,0.0,391876.5592639531,251045.92077846994,0.0
total_recharge,566669.3191709411,589875.0786350488,723220.6539667698,122642.71896307694,1271045.6567915645,4719610.570792712,1140412.521449035,332587.56535414176,5597672.43480071,1577978.0177152955,232624.10691070516
