,scen_rch,hill,opt_rch
1981,1200021.686549068,0.0,
1982,935238.33444181,0.0,
1983,2127643.3822695785,0.0,
1984,1219598.911141041,0.0,
1985,911003.0013241323,0.0,
1986,1553893.6427696426,0.0,
1987,1633224.4813711732,0.0,
1988,1736896.5540704373,0.0,
1989,1009071.3130408583,0.0,
1990,1459985.6441448668,0.0,
1991,1459529.3243888796,0.0,
1992,1363700.4509956643,0.0,
1993,1294165.6220393986,0.0,
1994,1624432.6787915726,0.0,
1995,2158539.992668023,0.0,
1996,1072026.0781423098,0.0,
1997,1194393.9868329715,0.0,
1998,1891112.330004707,0.0,
1999,1670396.8446968847,0.0,
2000,1585863.3362752313,0.0,
2001,891768.7148310512,0.0,
2002,1377926.9922816586,0.0,
2003,1349705.0569094233,0.0,
2004,1313518.812007685,0.0,
2005,804475.1030149389,0.0,
2006,1057880.7257743576,0.0,
2007,1299463.7033969625,0.0,
2008,1110244.6079685702,0.0,
2009,1502614.9877645383,0.0,
2010,1862141.8712491211,0.0,
2011,1118057.299454034,0.0,
2012,1298400.761606248,0.0,
2013,1658930.0579252462,0.0,
2014,1531600.9728974064,0.0,
2015,1601434.3515490454,0.0,
2016,1529552.3619383934,0.0,1296234.3434827449
2017,1001729.7401991519,0.0,1435548.1398820346
2018,1464483.918199445,0.0,1861802.6938921204
2019,1442640.7222779037,0.0,1712883.4701648043
2020,1244525.926424635,0.0,1547893.5260733753
