,scen_rch,hill,opt_rch
1981,496177.20022495225,0.0,
1982,385034.508182799,0.0,
1983,911043.7706744784,0.0,
1984,524344.0498460914,0.0,
1985,402689.852005803,0.0,
1986,652917.8933067363,0.0,
1987,684148.3261372132,0.0,
1988,743503.5982733999,0.0,
1989,426928.58321205736,0.0,
1990,617361.0704132552,0.0,
1991,637609.3947894064,0.0,
1992,591022.0581933599,0.0,
1993,533752.2606130565,0.0,
1994,714550.9313047904,0.0,
1995,932497.6480160162,0.0,
1996,447971.91895146354,0.0,
1997,510907.90186783526,0.0,
1998,806309.5956907028,0.0,
1999,720605.3692479477,0.0,
2000,670790.4087054229,0.0,
2001,377070.44411323493,0.0,
2002,590714.9563190807,0.0,
2003,577091.2355349258,0.0,
2004,554454.9606487398,0.0,
2005,339618.72383799555,0.0,
2006,442460.65488976723,0.0,
2007,549501.2385214629,0.0,
2008,489478.9635102128,0.0,
2009,631353.7067095329,0.0,
2010,807225.3217816127,0.0,
2011,455580.26742274466,0.0,
2012,566231.9677403771,0.0,
2013,702320.4379757729,0.0,
2014,646914.3781478874,0.0,
2015,677161.9339262899,0.0,
2016,644922.5517167259,0.0,372829.512915412
2017,433534.67619712336,0.0,464475.04380582896
2018,614619.3115998487,0.0,640513.4391662114
2019,608675.2025756093,0.0,567578.4042033025
2020,540397.8166579772,0.0,479783.29300404235
