,0
max_allo,0.0
current_use_2015,0.0
current_use_2016,0.0
current_use_2017,0.0
current_use_2018,0.0
current_use_2019,0.0
current_use_2020,0.0
current_use_2015_max,0.0
current_use_2016_max,0.0
current_use_2017_max,0.0
current_use_2018_max,0.0
current_use_2019_max,0.0
current_use_2020_max,0.0
max_allo_pc,0.0
max_allo_pc_10,0.0
