Series 1: ,,
X,Y,
11.83792492,30.64242003,
12.51449992,29.54319446,
13.70837448,27.89539285,
14.66337429,26.93567277,
15.65811617,26.11407586,
16.87122817,26.81056658,
17.84569582,27.36778219,
18.91942261,28.61503764,
20.41072903,30.27839049,
21.74291361,31.94082179,
22.39902239,32.90987261,
23.39418666,30.57145519,
24.80708414,28.09756409,
26.17997078,26.45079923,
27.47314289,25.35514468,
28.26856007,26.04921632,
28.92474565,26.7424816,
29.79933975,28.81594174,
30.91269341,30.61499867,
31.98653541,31.4485758,
32.66249601,32.55563459,
33.77558088,35.31994093,
35.80238751,42.50211493,
36.65751378,43.05863938,
37.51260165,43.75305661,
38.36730553,45.82640155,
40.5530804,53.5610682,
41.20964997,52.87540575,
42.26394733,52.46783274,
42.66175192,52.47013663,
44.03129779,62.82004299,
45.36348237,64.48247428,
46.63588107,66.55823831,
47.59080408,65.87430378,
48.80310969,69.46654272,
50.81329006,64.92771586,
53.32199335,55.84130736,
54.53568134,54.46940649,
57.49702157,62.76013681,
58.82955174,63.18153315,
59.68444762,64.56541423,
62.44911272,64.8572118,
63.40407413,64.03538449,
64.73641231,65.1462447,
66.12872838,65.1543083,
69.88917214,60.90140409,
71.22158712,61.73647875,
73.19022065,63.54048904,
74.80067645,65.89399692,
77.20747102,65.63214989,
79.85436912,60.26965261,
83.09839651,53.39379066,
84.90721701,57.6789493,
86.06012073,60.30559326,
87.69027476,63.34868019,
89.0623166,64.73555633,
90.29554923,64.60480561,
91.68851809,62.26869208,
92.42484057,60.89402655,
93.48013632,56.90124144,
94.89476179,48.22217557,
97.18332857,43.96074697,
99.7466338,53.07653004,
,,
X -axis,,
X,Y ,Actual (yy/mm)
0.027847351,0.0169342,7601
3.675904138,-0.154988251,7604
7.630228031,-0.132086761,7607
10.77703249,-0.306912218,7610
14.48067646,-0.092412349,7701
18.54638976,-0.068865747,7704
21.66534687,-0.243852482,7707
25.20174546,0.548829363,7710
29.29546739,-0.006612402,7801
32.38652339,0.011289467,7804
36.00657154,0.418355383,7807
39.65452081,0.632532695,7810
43.30252384,0.653660126,7901
46.56082523,0.093380018,7904
50.4593469,0.502058715,7907
53.63399871,0.327394536,7910
57.31001037,-0.2304664,8001
61.12493623,0.370778344,8004
64.24400086,-0.190308154,8007
67.80851559,-0.362714439,8010
71.59570162,-0.147730737,8101
74.88163532,0.064349961,8104
78.52958459,0.278527273,8107
82.23333608,0.106927378,8110
85.43572772,0.318524241,8201
88.91686168,-0.433515524,8204
92.48132265,-0.412871927,8207
96.04578363,-0.392228331,8210
99.63793067,0.207726188,8301
,,
Y -axis,,
X,Y,Actual (cm)
-2.86827719,0.000161278,31000
-2.875104629,24.51749625,32000
-2.881985828,49.22788111,33000
-2.916660619,73.74505481,34000
-2.923541818,98.45543967,35000
