permit_id,water_meter_no,date,total_allo,sw_allo,gw_allo,total_metered_allo,sw_metered_allo,gw_metered_allo,total_usage,sw_allo_usage,gw_allo_usage
2000.382.V1,1322,2017-12-31,2850.0,0.0,2850.0,2850.0,0.0,2850.0,274.74980634409803,0.0,274.74980634409803
2000.382.V1,1322,2018-01-31,2850.0,0.0,2850.0,2850.0,0.0,2850.0,274.7498063440962,0.0,274.7498063440962
2000.382.V1,1322,2018-02-28,2850.0,0.0,2850.0,2850.0,0.0,2850.0,141.8063516614693,0.0,141.8063516614693
2000.382.V1,1322,2018-03-31,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2018-04-30,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2018-05-31,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2018-06-30,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2018-07-31,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2018-08-31,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2018-09-30,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2018-10-31,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2018-11-30,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2018-12-31,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2019-01-31,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2019-02-28,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2019-03-31,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2019-04-30,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2019-05-31,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2019-06-30,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2019-07-31,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2019-08-31,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2019-09-30,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2019-10-31,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2019-11-30,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2019-12-31,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2020-01-31,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2020-02-29,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2020-03-31,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2020-04-30,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2020-05-31,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2020-06-30,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2020-07-31,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2020-08-31,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2020-09-30,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2020-10-31,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2020-11-30,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
2000.382.V1,1322,2020-12-31,2850.0,0.0,2850.0,0.0,0.0,0.0,,,
