permit_id,water_meter_no,date,total_allo,sw_allo,gw_allo,total_metered_allo,sw_metered_allo,gw_metered_allo,total_usage,sw_allo_usage,gw_allo_usage
2002.336,415,2021-06-30,39732.0,0.0,39732.0,39732.0,0.0,39732.0,1.86,0.0,1.86
2002.427.V1,254,2015-06-30,237351.0,0.0,237351.0,237351.0,0.0,237351.0,112.0,0.0,112.0
2002.427.V1,254,2016-06-30,237351.0,0.0,237351.0,237351.0,0.0,237351.0,100641.0,0.0,100641.0
2002.427.V1,254,2017-06-30,237351.0,0.0,237351.0,237351.0,0.0,237351.0,60803.0,0.0,60803.0
2002.427.V1,254,2018-06-30,237351.0,0.0,237351.0,237351.0,0.0,237351.0,86950.0,0.0,86950.0
2002.427.V1,254,2019-06-30,237351.0,0.0,237351.0,237351.0,0.0,237351.0,56823.5,0.0,56823.5
2002.427.V1,254,2020-06-30,237351.0,0.0,237351.0,237351.0,0.0,237351.0,4043.6999999996997,0.0,4043.6999999996997
2002.427.V1,254,2021-06-30,237351.0,0.0,237351.0,237351.0,0.0,237351.0,59216.29999990463,0.0,59216.29999990463
2002.798,297,2015-06-30,13500.0,0.0,13500.0,13500.0,0.0,13500.0,15503.52,0.0,15503.52
2002.798,297,2016-06-30,13500.0,0.0,13500.0,13500.0,0.0,13500.0,15384.32,0.0,15384.32
2002.798,297,2017-06-30,13500.0,0.0,13500.0,13500.0,0.0,13500.0,13698.88,0.0,13698.88
2002.798,297,2018-06-30,13500.0,0.0,13500.0,13500.0,0.0,13500.0,15061.13088,0.0,15061.13088
2002.798,297,2019-06-30,13500.0,0.0,13500.0,13500.0,0.0,13500.0,13062.60912,0.0,13062.60912
2002.798,297,2020-06-30,13500.0,0.0,13500.0,13500.0,0.0,13500.0,11845.55,0.0,11845.55
2002.798,297,2021-06-30,13500.0,0.0,13500.0,13500.0,0.0,13500.0,12934.88,0.0,12934.88
2003.076.V1,303,2015-06-30,4500.0,0.0,4500.0,4500.0,0.0,4500.0,4784.811854927,0.0,4784.811854927
2003.076.V1,303,2016-06-30,4500.0,0.0,4500.0,4500.0,0.0,4500.0,6165.568744978,0.0,6165.568744978
2003.076.V1,303,2017-06-30,4500.0,0.0,4500.0,4500.0,0.0,4500.0,5318.920265608,0.0,5318.920265608
2003.076.V1,303,2018-06-30,4500.0,0.0,4500.0,4500.0,0.0,4500.0,5889.071428634,0.0,5889.071428634
2003.076.V1,303,2019-06-30,4500.0,0.0,4500.0,4500.0,0.0,4500.0,5271.309523477,0.0,5271.309523477
2003.076.V1,303,2020-06-30,4500.0,0.0,4500.0,4500.0,0.0,4500.0,4954.940403431,0.0,4954.940403431
