,usage_mean,usage_min,usage_max,full_allo_mean,full_allo_min,full_allo_max,max_allo_mean,max_allo_min,max_allo_max
Terrace-River,-769.4388427734375,-2387.23583984375,-52.56159973144531,-2938.879150390625,-10097.875,-138.05642700195312,-10109.0,-10109.0,-10109.0
Terrace-Hill,-119.57502746582031,-174.00296020507812,-60.040523529052734,-823.5780029296875,-1192.7943115234375,-415.6642761230469,-1346.0,-1346.0,-1346.0
Te Awa,,,,,,,,,
Maungawera Flat,,,,,,,,,
Mangawera Valley,-356.3142395019531,-1201.5909423828125,-1.295714259147644,-863.3959350585938,-3744.218994140625,-1.5992159843444824,-4696.0,-4696.0,-4696.0
Hawea Flat,-6703.517578125,-18509.044921875,-1120.680908203125,-19215.435546875,-48101.3125,-5160.5419921875,-67172.5,-68472.0,-67003.0
