,0_50_30,0_40_30,0_30_30,0_66_30,0_20_30,0_5_30,0_60_30,0_73_50,0_75_60,0_77_70,0_80_48,0_85_56,0_90_65,0_72_34,0_75_39,0_93_50,0_74_30,0_51_37,0_42_41,0_32_44,0_23_47,0_9_53,0_72_27,0_75_22,0_73_11,0_66_11,0_60_13,0_55_4,0_68_27,0_65_22,0_55_17,0_47_11,0_39_5,0_51_23,0_42_20,0_32_17,0_23_13,0_9_8,0_55_43,0_47_50,0_39_56,0_32_62,0_20_72,0_60_48,0_55_56,0_50_65,0_68_34,0_45_74,0_65_39,0_66_50,0_65_60,0_63_70
000,-0.02800000000002001,-0.006890000000055352,-0.0013500000000021828,-0.15012000000001535,-0.0004299999999943793,-0.00012999999995599865,-0.0807399999999916,-0.042130000000042855,-0.015820000000019263,-0.0057300000000282125,-0.027409999999974843,-0.01132999999998674,-0.004279999999994288,-0.12314000000003489,-0.0734899999999925,0.0,-0.11033000000003312,-0.03382000000004837,-0.009670000000028267,-0.0010399999999890497,-0.0004200000000196269,-0.00029999999998153726,-0.12146999999998798,-0.0011600000000271393,-0.0032099999999672946,-0.014990000000011605,-0.021240000000034343,-0.0035199999999804277,-0.1352300000000355,-0.07229000000000951,-0.02197000000001026,-0.00534000000004653,-0.0008599999999887586,-0.02288000000004331,-0.006159999999965748,-0.0012800000000083855,-0.0003399999999942338,-9.999999997489795e-05,-0.038970000000006166,-0.011140000000011696,-0.0017200000000343607,-0.00050000000004502,-0.00022999999998774,-0.037570000000016535,-0.014130000000022847,-0.0034499999999866304,-0.13929999999999154,-0.00047000000000707587,-0.08938999999998032,-0.039199999999993906,-0.016230000000007294,-0.005170000000020991
001,-0.02795999999995047,-0.00686999999999216,-0.0013500000000021828,-0.1501999999999839,-0.0004299999999943793,-0.00013000000001284207,-0.0806999999999789,-0.04200000000003001,-0.015729999999962274,-0.005699999999990268,-0.027189999999961856,-0.011259999999992942,-0.004210000000000491,-0.12302999999997155,-0.07323999999999842,0.0,-0.1099399999999946,-0.03373999999996613,-0.00963000000001557,-0.0010300000000142973,-0.0004200000000196269,-0.00029999999998153726,-0.12119999999998754,-0.0005700000000388172,-0.0029299999999921056,-0.01474999999999227,-0.021099999999989905,-0.003479999999967731,-0.13519999999999754,-0.07210000000003447,-0.02187999999995327,-0.005310000000008586,-0.0008700000000203545,-0.022840000000030614,-0.006140000000016244,-0.001289999999983138,-0.0003399999999942338,-0.00010000000003174137,-0.03892000000001872,-0.011140000000011696,-0.0017199999999775173,-0.00050000000004502,-0.00023000000004458343,-0.03746000000001004,-0.014099999999984902,-0.003429999999980282,-0.13929999999999154,-0.00047000000000707587,-0.08927999999997382,-0.039019999999993615,-0.016160000000013497,-0.005170000000020991
002,-0.027940000000000964,-0.006899999999973261,-0.0013500000000021828,-0.1501700000000028,-0.00043999999996913175,-0.0001400000000444379,-0.0806699999999978,-0.041930000000036216,-0.01568000000003167,-0.00567999999998392,-0.027129999999999654,-0.011200000000030741,-0.00418000000001939,-0.1229900000000157,-0.07314999999999827,0.0,-0.1097700000000259,-0.033720000000016626,-0.009610000000009222,-0.0010500000000206455,-0.00044000000002597517,-0.00032000000004472895,-0.12110000000001264,-0.0003399999999942338,-0.0028499999999667125,-0.014630000000011023,-0.021000000000015007,-0.0034499999999866304,-0.13519999999999754,-0.07204999999999018,-0.02181999999999107,-0.005309999999951742,-0.0008700000000203545,-0.022800000000017917,-0.0061099999999782995,-0.0012500000000272848,-0.0003399999999942338,-9.000000000014552e-05,-0.03892000000001872,-0.011110000000030595,-0.0017200000000343607,-0.00050000000004502,-0.00023000000004458343,-0.037419999999997344,-0.014029999999991105,-0.003409999999973934,-0.13927000000001044,-0.00047000000000707587,-0.08924999999999272,-0.03900000000004411,-0.016109999999969205,-0.005150000000014643
003,-0.019530000000031578,-0.004900000000020555,-0.0009800000000268483,-0.1188600000000406,-0.00031999999998788553,-0.00010000000003174137,-0.05730999999997266,-0.030149999999991905,-0.012300000000038835,-0.005080000000020846,-0.019499999999993634,-0.007810000000006312,-0.0034600000000182263,-0.09531000000004042,-0.05356000000000449,0.0,-0.08926000000002432,-0.025059999999996307,-0.00876000000005206,-0.0009600000000205,-0.0004000000000132786,-0.00029999999998153726,-0.09881999999998925,-0.000910000000033051,-0.0015300000000024738,-0.010780000000011114,-0.015049999999973807,-0.0024700000000166256,-0.10761000000002241,-0.05383000000000493,-0.015289999999993142,-0.0036999999999807187,-0.0005800000000135697,-0.015800000000012915,-0.004270000000019536,-0.0008799999999951069,-0.00024000000001933586,-8.000000002539309e-05,-0.0303199999999606,-0.011030000000005202,-0.0017500000000154614,-0.00050000000004502,-0.00022999999998774,-0.028480000000001837,-0.012400000000013733,-0.0032500000000368345,-0.10791000000000395,-0.00047000000000707587,-0.06389999999998963,-0.028680000000008476,-0.01310000000000855,-0.004579999999975826
004,-0.019549999999981083,-0.004900000000020555,-0.0010199999999827014,-0.1190000000000282,-0.00034999999996898623,-0.00010000000003174137,-0.05729999999999791,-0.03008999999997286,-0.012259999999969295,-0.005050000000039745,-0.019400000000018736,-0.007799999999974716,-0.003500000000030923,-0.09526999999997088,-0.05340000000001055,-2.99999999811007e-05,-0.08906000000001768,-0.02501999999998361,-0.00879000000003316,-0.0009600000000205,-0.0004000000000132786,-0.0003000000000383807,-0.0987299999999891,-0.00045999999997548,-0.0015000000000213731,-0.010580000000004475,-0.014940000000024156,-0.0024500000000102773,-0.10766999999998461,-0.053769999999985885,-0.015240000000005693,-0.0036999999999807187,-0.0006300000000010186,-0.015800000000012915,-0.004300000000000637,-0.0009299999999825559,-0.0002599999999688407,-7.999999996854967e-05,-0.0303199999999606,-0.011039999999979955,-0.0017300000000091131,-0.00050000000004502,-0.00023000000004458343,-0.02841000000000804,-0.012380000000007385,-0.0032500000000368345,-0.10796999999996615,-0.00047000000000707587,-0.06391999999999598,-0.02863999999999578,-0.013059999999995853,-0.004560000000026321
005,-0.019499999999993634,-0.004880000000014206,-0.0010000000000331966,-0.1189899999999966,-0.00031999999998788553,-0.00010000000003174137,-0.05725000000001046,-0.03003999999998541,-0.012229999999988195,-0.005050000000039745,-0.01933000000002494,-0.007699999999999818,-0.0034800000000245745,-0.09525000000002137,-0.053339999999991505,0.0,-0.08890000000002374,-0.025000000000034106,-0.008789999999976317,-0.0009600000000205,-0.0004000000000132786,-0.00029999999998153726,-0.0986300000000142,-0.00027000000000043656,-0.0014999999999645297,-0.010530000000017026,-0.014889999999979864,-0.002419999999972333,-0.10766000000000986,-0.05371000000002368,-0.01520000000004984,-0.003669999999999618,-0.0006000000000199179,-0.015750000000025466,-0.004239999999981592,-0.0009000000000014552,-0.00026000000002568413,-6.999999999379725e-05,-0.030280000000004748,-0.011030000000005202,-0.001740000000040709,-0.00050000000004502,-0.00022999999998774,-0.02839000000000169,-0.012360000000001037,-0.0032500000000368345,-0.10796999999996615,-0.00047000000000707587,-0.06387000000000853,-0.02856000000002723,-0.013030000000014752,-0.004549999999994725
006,-0.01832000000001699,-0.004900000000020555,-0.0010000000000331966,-0.09340000000003101,-0.00031999999998788553,-0.00010000000003174137,-0.04595999999997957,-0.025820000000010168,-0.012300000000038835,-0.005100000000027194,-0.016180000000019845,-0.00760000000002492,-0.0034800000000245745,-0.07415000000003147,-0.041200000000003456,0.0,-0.06982000000004973,-0.02509000000003425,-0.008800000000007913,-0.0009600000000205,-0.0004000000000132786,-0.0003000000000383807,-0.07747999999998001,-0.000680000000045311,-0.0012200000000461841,-0.008070000000031996,-0.011469999999974334,-0.0018699999999967076,-0.08426000000002887,-0.04070000000001528,-0.011869999999987613,-0.002970000000004802,-0.00050000000004502,-0.013279999999951997,-0.0037599999999997635,-0.0008000000000265572,-0.00026000000002568413,-7.000000005064066e-05,-0.030340000000023792,-0.01105000000001155,-0.0017200000000343607,-0.00050000000004502,-0.00023000000004458343,-0.028540000000020882,-0.012420000000020082,-0.0032500000000368345,-0.0845000000000482,-0.00047000000000707587,-0.051969999999982974,-0.027500000000031832,-0.01312999999998965,-0.004570000000001073
007,-0.018259999999997945,-0.004880000000014206,-0.0009999999999763531,-0.09345999999999322,-0.00031999999998788553,-0.00010000000003174137,-0.04590000000001737,-0.025700000000028922,-0.012249999999994543,-0.00506999999998925,-0.016059999999981756,-0.007549999999980628,-0.0034800000000245745,-0.07407000000000608,-0.04104000000000951,-4.0000000012696546e-05,-0.06963000000001784,-0.025030000000015207,-0.00879000000003316,-0.0009600000000205,-0.0004000000000132786,-0.00029999999998153726,-0.07738000000000511,-0.00035000000002582965,-0.0012500000000272848,-0.007929999999987558,-0.011379999999974189,-0.001840000000015607,-0.08424000000002252,-0.040560000000027685,-0.011810000000025411,-0.0029600000000300497,-0.0004999999999881766,-0.013230000000021391,-0.003730000000018663,-0.0008000000000265572,-0.00024000000001933586,-7.999999996854967e-05,-0.030280000000004748,-0.011030000000005202,-0.0017199999999775173,-0.0004999999999881766,-0.00022999999998774,-0.028450000000020736,-0.012360000000001037,-0.0032500000000368345,-0.08449999999999136,-0.00047000000000707587,-0.05185999999997648,-0.027410000000031687,-0.013070000000027449,-0.004560000000026321
008,-0.018230000000016844,-0.004860000000007858,-0.0010000000000331966,-0.09350999999998066,-0.00032000000004472895,-0.00010000000003174137,-0.04586999999997943,-0.025640000000009877,-0.012220000000013442,-0.005080000000020846,-0.016000000000019554,-0.007510000000024775,-0.0034499999999866304,-0.07409999999998718,-0.04103000000003476,-4.0000000012696546e-05,-0.06954999999999245,-0.024999999999977263,-0.008769999999969968,-0.0009600000000205,-0.0004000000000132786,-0.0003000000000383807,-0.07734999999996717,-0.00023000000004458343,-0.0012199999999893407,-0.00788000000000011,-0.01132999999998674,-0.0018499999999903594,-0.08429000000000997,-0.040560000000027685,-0.011750000000006366,-0.0029400000000237014,-0.00050000000004502,-0.01320000000004029,-0.003730000000018663,-0.0008000000000265572,-0.0002499999999940883,-8.000000002539309e-05,-0.030250000000023647,-0.01102000000003045,-0.0017200000000343607,-0.00050000000004502,-0.00023000000004458343,-0.028450000000020736,-0.012370000000032633,-0.0032500000000368345,-0.08450999999996611,-0.00047000000000707587,-0.051819999999963784,-0.027350000000012642,-0.0130500000000211,-0.004560000000026321
009,-0.013669999999990523,-0.0034699999999929787,-0.0006799999999884676,-0.05822000000000571,-0.00022000000001298758,-6.999999999379725e-05,-0.03543000000001939,-0.01982999999995627,-0.008179999999981646,-0.0031700000000114414,-0.01269999999999527,-0.005209999999976844,-0.0020499999999969987,-0.04893999999995913,-0.030969999999967968,-4.0000000012696546e-05,-0.04267999999996164,-0.01731000000000904,-0.0054599999999709325,-0.0005800000000135697,-0.00024000000001933586,-0.00018000000000029104,-0.04651000000001204,-0.001550000000008822,-0.001599999999996271,-0.006579999999985375,-0.009199999999964348,-0.0015799999999899228,-0.052199999999970714,-0.02940000000000964,-0.009770000000003165,-0.0024399999999786814,-0.0003999999999564352,-0.010579999999947631,-0.0029199999999605097,-0.0006099999999946704,-0.00018000000000029104,-4.0000000012696546e-05,-0.020359999999982392,-0.006799999999998363,-0.0010399999999890497,-0.0003000000000383807,-0.0001399999999875945,-0.019380000000012387,-0.007900000000006457,-0.002039999999965403,-0.055139999999994416,-0.000279999999975189,-0.03973000000002003,-0.01958999999999378,-0.008570000000020173,-0.002939999999966858
