,0_41_35,0_31_35,0_21_35,0_57_35,0_11_35,0_51_35,0_71_52,0_76_61,0_81_69,0_63_38,0_86_78,0_94_91,0_101_104,0_66_43,0_79_45,0_87_50,0_96_55,0_105_60,0_118_67,0_131_75,0_81_35,0_91_35,0_101_35,0_65_35,0_111_35,0_126_35,0_71_35,0_79_25,0_87_20,0_96_15,0_105_10,0_118_2,0_71_17,0_76_9,0_81_0,0_63_31,0_66_26,0_61_15,0_61_5,0_51_17,0_46_9,0_41_0,0_59_31,0_56_26,0_44_45,0_35_50,0_27_55,0_18_60,0_5_67,0_44_25,0_35_20,0_27_15,0_18_10,0_5_2,0_51_52,0_46_61,0_41_69,0_59_38,0_36_78,0_29_91,0_21_104,0_56_43,0_61_55,0_61_65,0_61_75,0_61_85,0_61_100,0_61_115
000,-0.0011700000000018917,-0.0015399999999772263,0.0,-22.251329999999996,0.0,-2.964499999999987,-0.13974000000001752,-0.021609999999952834,-0.014679999999998472,-38.216830000000016,-0.011030000000005202,-0.007240000000024338,-0.00380000000001246,-6.472849999999994,-1.0839000000000283,-0.1459199999999896,-0.024969999999996162,0.0,0.0,0.0,-3.8276599999999803,-0.49205999999998085,0.0,-41.630499999999984,0.0,0.0,-15.149979999999971,-3.728520000000003,-4.0000000012696546e-05,0.0,0.0,0.0,-0.5550799999999754,0.0,0.0,-25.879459999999995,-5.921699999999987,0.0,0.0,-0.002900000000011005,0.0,0.0,-14.227779999999996,-0.014639999999985776,-0.00015999999999394277,-0.0007100000000264117,-0.0012499999999704414,-0.0012199999999893407,0.0,-0.0019499999999652573,0.0,0.0,0.0,0.0,-6.999999999379725e-05,-4.0000000012696546e-05,-0.00038000000000693035,-30.603439999999978,-0.0004999999999881766,-0.0004999999999881766,-0.002299999999991087,-4.344820000000027,-0.07483000000001994,-0.017879999999991014,-0.008209999999962747,-0.006179999999972097,-0.005440000000021428,-0.004939999999976408
001,-0.0011000000000080945,-0.0015300000000024738,0.0,-22.25127999999995,0.0,-2.963899999999967,-0.13929999999999154,-0.021250000000009095,-0.01434999999997899,-38.21597000000003,-0.010710000000017317,-0.006989999999973406,-0.0036299999999869215,-6.4723900000000185,-1.0836199999999963,-0.14570000000003347,-0.02478000000002112,0.0,0.0,0.0,-3.8274600000000305,-0.4919800000000123,0.0,-41.63193000000001,0.0,0.0,-15.149580000000014,-3.7283600000000092,-4.0000000012696546e-05,0.0,0.0,0.0,-0.554869999999994,0.0,0.0,-25.879599999999982,-5.921479999999974,0.0,0.0,-0.002889999999979409,0.0,0.0,-14.227599999999995,-0.014439999999979136,-0.00013000000001284207,-0.0006999999999948159,-0.0012300000000209366,-0.0012300000000209366,0.0,-0.0019500000000221007,0.0,0.0,0.0,0.0,-4.0000000012696546e-05,-2.99999999811007e-05,-0.00020999999998139174,-30.60471000000001,-0.0002499999999940883,-0.00045999999997548,-0.002100000000041291,-4.343999999999994,-0.07447000000001935,-0.017499999999984084,-0.007799999999974716,-0.005760000000009313,-0.005060000000014497,-0.004650000000026466
002,-0.0011600000000271393,-0.0015300000000024738,0.0,-22.251359999999977,0.0,-2.9636899999999855,-0.1392500000000041,-0.021079999999983556,-0.014180000000010295,-38.21569999999997,-0.010559999999998126,-0.006870000000049004,-0.0035699999999678766,-6.472199999999987,-1.083500000000015,-0.14560000000000173,-0.024690000000020973,0.0,0.0,0.0,-3.8273900000000367,-0.49200000000001864,0.0,-41.632690000000025,0.0,0.0,-15.149450000000002,-3.728300000000047,-3.000000003794412e-05,0.0,0.0,0.0,-0.5551400000000513,0.0,0.0,-25.879760000000033,-5.921379999999999,0.0,0.0,-0.002900000000011005,0.0,0.0,-14.22756000000004,-0.014580000000023574,-0.00013000000001284207,-0.0006999999999948159,-0.0012199999999893407,-0.0012199999999893407,0.0,-0.0020000000000095497,0.0,0.0,0.0,0.0,-3.000000003794412e-05,-3.000000003794412e-05,-0.00013000000001284207,-30.605430000000013,-0.00018000000000029104,-0.00043999999996913175,-0.0020400000000222462,-4.34375,-0.07430999999996857,-0.01731000000000904,-0.007580000000018572,-0.005560000000002674,-0.004880000000014206,-0.00448999999997568
003,-0.00283999999999196,-0.002169999999978245,0.0,-22.24734000000001,0.0,-2.9557800000000043,-0.13086000000004105,-0.01791000000002896,-0.011410000000012133,-37.228909999999985,-0.0080600000000004,-0.005039999999951306,-0.002139999999997144,-6.276099999999985,-1.033270000000016,-0.11331999999998743,-0.014649999999960528,0.0,0.0,0.0,-3.787900000000036,-0.4885999999999626,0.0,-41.56769000000003,0.0,0.0,-14.974699999999984,-3.7142600000000243,-4.0000000012696546e-05,0.0,0.0,0.0,-0.554839999999956,0.0,0.0,-25.877189999999985,-5.92140999999998,0.0,0.0,-0.0034499999999866304,0.0,0.0,-14.228459999999984,-0.014889999999979864,-0.0007999999999697138,-0.00091999999995096,-0.0009499999999889042,-0.000550000000032469,0.0,-0.00283999999999196,0.0,0.0,0.0,0.0,-0.0003999999999564352,-0.0003999999999564352,-0.00073000000003276,-30.48250999999999,-0.0019999999999527063,-0.0006699999999568718,-0.0016200000000026193,-4.058899999999994,-0.07013000000000602,-0.015350000000012187,-0.006280000000003838,-0.004429999999956635,-0.0037999999999556167,-0.003199999999992542
004,-0.002479999999991378,-0.0018699999999967076,0.0,-22.247100000000046,0.0,-2.955039999999997,-0.13074000000000296,-0.017699999999990723,-0.011240000000043437,-37.228909999999985,-0.007920000000012806,-0.004520000000013624,-0.001959999999996853,-6.276279999999986,-1.0333200000000033,-0.11330000000003793,-0.014229999999997744,0.0,0.0,0.0,-3.78797000000003,-0.4881300000000124,0.0,-41.5684,0.0,0.0,-14.974750000000029,-3.7142299999999864,-4.999999998744897e-05,0.0,0.0,0.0,-0.5544399999999996,0.0,0.0,-25.876949999999965,-5.921109999999999,0.0,0.0,-0.0034800000000245745,0.0,0.0,-14.228229999999996,-0.014760000000023865,-0.0004000000000132786,-0.0005499999999756255,-0.0005800000000135697,-0.0005200000000513683,0.0,-0.0024999999999977263,0.0,0.0,0.0,0.0,-4.999999998744897e-05,-2.99999999811007e-05,-0.0006100000000515138,-30.48295999999999,-0.0012400000000525324,-0.00026000000002568413,-0.0011600000000271393,-4.058580000000006,-0.06979999999998654,-0.015110000000049695,-0.006040000000041346,-0.004000000000019099,-0.003199999999992542,-0.002690000000029613
005,-0.002479999999991378,-0.0018699999999967076,0.0,-22.247079999999983,0.0,-2.95483999999999,-0.13071999999999662,-0.01761000000004742,-0.011120000000005348,-37.22885000000002,-0.007779999999968368,-0.004459999999994579,-0.0018999999999778083,-6.276369999999986,-1.0334199999999782,-0.11326999999999998,-0.014149999999972351,0.0,0.0,0.0,-3.787999999999954,-0.48809999999997444,0.0,-41.56890999999996,0.0,0.0,-14.974839999999972,-3.7142599999999675,-3.000000003794412e-05,0.0,0.0,0.0,-0.5547300000000064,0.0,0.0,-25.877009999999984,-5.921079999999961,0.0,0.0,-0.0034699999999929787,0.0,0.0,-14.228079999999977,-0.01482000000004291,-0.0003699999999753345,-0.0005199999999945248,-0.0005799999999567262,-0.0005199999999945248,0.0,-0.0025099999999724787,0.0,0.0,0.0,0.0,-3.000000003794412e-05,-3.000000003794412e-05,-0.0005499999999756255,-30.48327999999998,-0.001159999999970296,-0.0002500000000509317,-0.0011300000000460386,-4.058539999999994,-0.06975999999997384,-0.014989999999954762,-0.005899999999996908,-0.0038799999999810098,-0.0030899999999860484,-0.0025699999999915235
006,-0.0003399999999942338,-7.999999996854967e-05,0.0,-21.899380000000008,0.0,-2.311019999999985,-0.06719999999995707,-0.009710000000040964,-0.006290000000035434,-30.213359999999966,-0.004560000000026321,-0.003100000000017644,-0.0018200000000092587,-5.207639999999969,-0.8526299999999765,-0.06767999999999574,-0.010350000000016735,0.0,0.0,0.0,-3.6080899999999474,-0.3957699999999704,0.0,-35.93877999999995,0.0,0.0,-14.359919999999988,-3.3256700000000023,-4.999999998744897e-05,0.0,0.0,0.0,-0.5546599999999557,0.0,0.0,,-5.881520000000023,0.0,0.0,-0.002540000000010423,0.0,0.0,-14.22548999999998,-0.015379999999993288,-0.00010000000003174137,-7.999999996854967e-05,-7.999999996854967e-05,-6.000000001904482e-05,0.0,-0.0011600000000271393,0.0,0.0,0.0,0.0,-4.0000000012696546e-05,-3.000000003794412e-05,-0.00015999999999394277,-26.16683999999998,-0.0002800000000320324,-0.0002499999999940883,-0.001140000000020791,-2.364620000000002,-0.037629999999978736,-0.008390000000019882,-0.0036400000000185173,-0.002690000000029613,-0.0024500000000102773,-0.00238000000001648
007,-0.00035000000002582965,-6.000000001904482e-05,0.0,-21.898979999999995,0.0,-2.310389999999984,-0.06699000000003252,-0.009530000000040673,-0.006100000000003547,-30.21377000000001,-0.004400000000032378,-0.002970000000004802,-0.0017200000000343607,-5.208289999999977,-0.8529399999999896,-0.0675099999999702,-0.010240000000010241,0.0,0.0,0.0,-3.608009999999979,-0.39560000000000173,0.0,-35.939340000000016,0.0,0.0,-14.360259999999982,-3.325649999999996,-4.0000000012696546e-05,0.0,0.0,0.0,-0.5543799999999806,0.0,0.0,,-5.8812599999999975,0.0,0.0,-0.002560000000016771,0.0,0.0,-14.223419999999976,-0.015320000000031087,-9.000000000014552e-05,-7.999999996854967e-05,-5.99999999622014e-05,-4.999999998744897e-05,0.0,-0.0011299999999891952,0.0,0.0,0.0,0.0,-4.0000000012696546e-05,-2.99999999811007e-05,-0.00010000000003174137,-26.167089999999973,-0.0001700000000255386,-0.00022000000001298758,-0.0010499999999638021,-2.3643200000000206,-0.03748000000001639,-0.00821000000001959,-0.0034300000000371256,-0.002479999999991378,-0.0022799999999847387,-0.002200000000016189
008,-0.0003699999999753345,-6.999999999379725e-05,0.0,-21.89915000000002,0.0,-2.310100000000034,-0.06686999999999443,-0.009459999999990032,-0.006049999999959255,-30.214019999999948,-0.004349999999988086,-0.002900000000011005,-0.0017000000000280124,-5.208619999999996,-0.8531100000000151,-0.06740000000002055,-0.010189999999965949,0.0,0.0,0.0,-3.6079999999999472,-0.3955100000000016,0.0,-35.93964,0.0,0.0,-14.360439999999983,-3.3256400000000212,-4.0000000012696546e-05,0.0,0.0,0.0,-0.5547300000000064,0.0,0.0,,-5.881169999999997,0.0,0.0,-0.002560000000016771,0.0,0.0,-14.225889999999993,-0.015350000000012187,-9.999999997489795e-05,-6.999999999379725e-05,-4.999999998744897e-05,-4.999999998744897e-05,0.0,-0.0011600000000271393,0.0,0.0,0.0,0.0,-3.000000003794412e-05,-3.000000003794412e-05,-6.999999999379725e-05,-26.167329999999993,-0.00012000000003808964,-0.00022000000001298758,-0.0010199999999827014,-2.3641999999999825,-0.037419999999997344,-0.008129999999994197,-0.003349999999954889,-0.0024000000000228283,-0.002200000000016189,-0.0021200000000476393
009,-0.00027000000000043656,-0.0008300000000076579,0.0,-4.507020000000011,0.0,-0.5810799999999858,-0.021299999999996544,-0.006200000000035288,-0.005300000000033833,-4.425020000000018,-0.004729999999995016,-0.003669999999999618,-0.002440000000035525,-0.8133199999999761,-0.14611999999999625,-0.02156999999999698,-0.0051799999999957436,-2.99999999811007e-05,0.0,0.0,-0.4657500000000141,-0.07619999999997162,0.0,-5.360439999999983,0.0,0.0,-1.758700000000033,-0.5076200000000313,-4.0000000012696546e-05,0.0,0.0,0.0,-0.10227000000003272,0.0,0.0,-4.931849999999997,-1.0351800000000253,0.0,0.0,-0.000910000000033051,0.0,0.0,-3.42752999999999,-0.006500000000016826,-6.999999999379725e-05,-0.0009000000000014552,-0.001380000000040127,-0.0018000000000029104,0.0,-0.00044000000002597517,0.0,0.0,0.0,0.0,-0.0002800000000320324,-0.0004999999999881766,-0.0034200000000055297,-3.9984999999999786,-0.004210000000000491,-0.003940000000000055,-0.003940000000000055,-0.5368399999999838,-0.012879999999995562,-0.006160000000022592,-0.0051799999999957436,-0.004850000000033106,-0.004729999999995016,-0.0046399999999948704
