,0
max_allo,492636.0
current_use_2015,47332.741308539
current_use_2016,27733.13999995
current_use_2017,30968.429999993004
current_use_2018,34986.049999973
current_use_2019,60074.30999989901
current_use_2020,70793.19999999
current_use_2015_max,202.59
current_use_2016_max,330.33
current_use_2017_max,345.8
current_use_2018_max,422.38
current_use_2019_max,396.335
current_use_2020_max,438.86
max_allo_pc,182358.56301007542
max_allo_pc_10,200594.41931108295
