,scen_rch,hill,opt_rch
1981,93026.94889946267,251677.07099360303,
1982,71480.28458815516,278034.91389370896,
1983,172515.3506603553,725319.7134748752,
1984,91331.83647220486,319829.1316043462,
1985,73591.4551734712,241161.1349009908,
1986,123962.82643688757,239203.14636604942,
1987,130509.83610565223,364130.1155072676,
1988,141223.9498738467,214171.37405181868,
1989,76368.47577029085,61354.636858978665,
1990,111475.99199388249,138757.3914190736,
1991,121461.33851546698,222022.24143239635,
1992,114646.37415867539,163872.82271296676,
1993,101619.10903794525,187381.11659574969,
1994,125400.9293587075,647271.9298290492,
1995,173120.53650457392,486493.12999453343,
1996,84486.30742062905,267608.71261731855,
1997,94922.1036983942,163634.80814260215,
1998,153875.48000843002,385958.24094057956,
1999,131772.63123598293,168081.06636701673,
2000,126447.88954157573,703935.0704862347,
2001,67218.42620047052,20791.960926682106,
2002,110231.1202664717,183735.21215659878,
2003,108466.99213660938,131859.27721481098,
2004,104024.7382352253,270680.4438411276,
2005,63493.55637065839,105240.65942367574,
2006,81758.72852621706,208187.5118919064,
2007,103044.579776234,160568.46049430376,
2008,90114.32595642052,159803.66557960992,
2009,120244.99383840394,228581.8082804535,
2010,147861.20589314846,303018.8606411158,
2011,86722.39856349575,175448.4271641051,
2012,105906.33964037233,169170.3173178293,
2013,130434.97226130302,268439.5010745358,
2014,122093.19547563243,210219.45474913233,
2015,128497.84124421424,126560.92879870869,
2016,122102.04050694336,74428.33789194848,91620.94674355198
2017,81630.0556098741,202497.92108661163,105968.09983361849
2018,115323.63197953634,302858.18912063085,144808.83677496223
2019,111168.2325934256,190646.97100730502,133004.27136950253
2020,103490.74344036095,98699.9498914991,114859.96211377066
