,0
max_allo,1718736.0
current_use_2015,40479.0
current_use_2016,68557.1
current_use_2017,176557.69999999998
current_use_2018,117945.79999999999
current_use_2019,91734.2999999998
current_use_2020,101988.699999969
current_use_2015_max,1116.0
current_use_2016_max,2383.4
current_use_2017_max,3373.9
current_use_2018_max,4230.5
current_use_2019_max,3265.1
current_use_2020_max,4158.2
max_allo_pc,636222.7428642749
max_allo_pc_10,699845.0171507024
