,scen_rch,hill,opt_rch
1981,69049.63682616594,717002.1359584476,
1982,53470.56479580166,745565.9025960179,
1983,138322.98737785872,1878010.789753015,
1984,69370.33641919735,895434.4790030468,
1985,60027.82618567631,654787.2858186978,
1986,97427.56663044555,668634.6178378649,
1987,103103.00700876256,1000072.6546694454,
1988,116721.49515123459,571952.2116573929,
1989,54859.589985287785,178753.47622884513,
1990,81576.94025313955,406058.0732819626,
1991,102684.9947497253,582873.8765637235,
1992,98510.78520518029,473717.20453512523,
1993,78252.40948871868,535757.4191386169,
1994,93499.37711379044,1718271.9156066347,
1995,137824.6263787592,1235226.3791427955,
1996,65451.87118584087,765756.5747567606,
1997,75715.89332762906,445923.7213566781,
1998,122565.51920172958,1032948.651433752,
1999,100998.22431536618,464448.79694296024,
2000,100019.20891221662,1800636.6086377508,
2001,48526.53837524743,60520.6839969764,
2002,87070.58673838375,501888.08668038424,
2003,84930.6020282872,364314.4087368167,
2004,80785.1767429163,749876.7880335178,
2005,52338.91064325951,296144.02508909535,
2006,59917.97398531479,590215.4037131354,
2007,80700.56530719958,433534.1290401205,
2008,73990.70427448145,452012.0779780644,
2009,94308.2763238567,616723.9985825781,
2010,113030.56433285394,804376.0035752814,
2011,67525.57995396707,491869.1113838118,
2012,88929.81732125014,484459.38981958525,
2013,99446.94712909232,729021.498326872,
2014,94364.13862054377,577554.1196219315,
2015,100100.56440353802,380681.9443736742,
2016,95270.47132406624,225763.86103197114,487651.2760606499
2017,69508.15583388475,547876.809269441,615948.5537966699
2018,87735.99051174548,841944.3140053233,846136.1778946016
2019,82005.14454285802,528419.2209253866,747049.081243303
2020,87585.94872302863,287914.0003217521,629903.371194463
