,scen_rch,hill,opt_rch
1981,983859.7414430552,30950.02312955496,
1982,755758.5867598421,57105.02930244348,
1983,1740882.4673773434,214604.82490952962,
1984,1063248.7412332133,72739.02094596364,
1985,767745.3961114687,48608.19394368045,
1986,1263074.6320454178,41695.34926761134,
1987,1321367.069104304,72140.10561284305,
1988,1408693.6789959497,57217.43044185202,
1989,874274.3949995962,6808.727993274207,
1990,1228969.391355919,19344.452600745088,
1991,1189565.2061745515,63434.962024460605,
1992,1095823.131425876,22350.11989526907,
1993,1040525.2316289039,22912.643073256142,
1994,1413095.06020679,134955.00049061337,
1995,1829342.9717881654,173097.26494479098,
1996,870118.754395074,36258.9417632796,
1997,985136.1443854606,42918.676645765365,
1998,1537166.1261477598,71924.84908979823,
1999,1404680.6538748576,41699.39626533883,
2000,1318562.978687295,234608.77347503995,
2001,754319.684066696,2551.421524079878,
2002,1132618.5531860488,49153.97134566911,
2003,1104438.3639013048,20238.293622310914,
2004,1074012.9826056154,54261.92404549853,
2005,654042.9668002703,16539.159831726,
2006,883072.4979166317,35648.26743958639,
2007,1064483.281347296,31617.71965599827,
2008,928048.0857933305,24995.793637057817,
2009,1217061.3233725338,51460.126554300194,
2010,1569776.6132735226,63339.409585797985,
2011,900960.0040749363,35118.29376854307,
2012,1093087.1205674864,23917.867238822964,
2013,1376294.779507265,68390.15479379774,
2014,1255113.905572554,44109.2329182839,
2015,1309030.7434027866,8294.944528455406,
2016,1245999.5856332267,5741.926711205462,6312498.42690621
2017,836761.7684660436,36890.986123136354,6980339.161682961
2018,1191524.1432010531,65612.64595448335,9830695.851643097
2019,1200798.6927403512,43085.85401411844,8972628.135924945
2020,1008187.3518401831,10415.089200480426,7630270.706872083
