,scen_rch,hill,opt_rch
1981,248855.3844852875,2967910.9350493248,
1982,193985.45003207232,2759272.416203167,
1983,444697.2873787521,5942418.848422946,
1984,270444.2498554548,3741336.599591987,
1985,196625.3730596134,2637348.766514585,
1986,320931.34705478745,2797828.7133534257,
1987,335967.3083064474,3870356.2852428905,
1988,358375.0566844294,2112553.3966886722,
1989,223427.39367709687,993426.079879716,
1990,314525.03295895905,2009295.3760009976,
1991,305083.8007823895,2031809.662085453,
1992,280192.25184935314,1953865.8492103422,
1993,266023.81873541395,2360871.702813614,
1994,358947.78577758506,5891764.424654086,
1995,469494.4916334877,3868516.794453365,
1996,221887.94450482368,3468059.674383071,
1997,249573.29524461774,1923121.9778011965,
1998,394195.9696949052,3681494.4901327933,
1999,358320.9159094436,1996606.5685374711,
2000,339303.8236704011,5623338.026473836,
2001,190794.59768134716,457526.79057911166,
2002,289070.50366198586,2122626.367103165,
2003,283241.0074025672,1594313.3262442113,
2004,273723.4717026907,3129414.82003126,
2005,165681.78505907717,1411597.7970894424,
2006,229691.1231519524,2596744.5474057784,
2007,269537.07633646467,1763163.7434654327,
2008,237510.0502475422,1937357.1186063262,
2009,311263.82493089157,2450036.113651998,
2010,401839.63576042844,2836308.890303601,
2011,224892.6048754707,2433671.477902073,
2012,277974.04795993137,2117181.7520653713,
2013,350761.141549745,2810490.245478898,
2014,319593.1494221364,2401677.8604290234,
2015,333928.4001716879,1794107.7959968462,
2016,318987.61081318196,1360846.4969619354,1615978.6069447843
2017,213144.6591644682,2051898.2395253489,1790277.0016875651
2018,307881.78897320764,3424590.2094461154,2625711.7030656715
2019,308630.187361429,2373774.2366888635,2324602.455299554
2020,259555.0438942397,1436353.4812966983,1989167.0275407783
