,scen_rch,hill,opt_rch
1981,175018.8726322189,0.0,
1982,136292.14107887828,0.0,
1983,310410.6987799119,0.0,
1984,180871.6124571589,0.0,
1985,132721.21006235867,0.0,
1986,226686.70908173948,0.0,
1987,238265.39628922314,0.0,
1988,253421.07896659916,0.0,
1989,149793.44055490787,0.0,
1990,212576.1823325295,0.0,
1991,212922.91654200046,0.0,
1992,199050.61771505082,0.0,
1993,188742.5876598687,0.0,
1994,236534.66608512992,0.0,
1995,320793.7369222111,0.0,
1996,156357.1601564418,0.0,
1997,174210.71821308113,0.0,
1998,275982.68893690745,0.0,
1999,243490.52918124173,0.0,
2000,235731.5893777763,0.0,
2001,129900.63987687453,0.0,
2002,201005.82601463838,0.0,
2003,196929.47196299606,0.0,
2004,191583.51288702158,0.0,
2005,117161.60078257565,0.0,
2006,157176.9092545471,0.0,
2007,189565.92520643113,0.0,
2008,161833.87973675726,0.0,
2009,219224.21715230533,0.0,
2010,271462.65060034714,0.0,
2011,163039.38390928353,0.0,
2012,193108.30756532677,0.0,
2013,241848.13376898217,0.0,
2014,223457.93172946534,0.0,
2015,233679.23084653562,0.0,
2016,223114.48408373803,0.0,1326558.9877141358
2017,148854.05555585615,0.0,1465226.2577612542
2018,213521.22953288344,0.0,1905526.1030053082
2019,210164.54907035848,0.0,1752184.2317488308
2020,181540.7976291864,0.0,1580630.7976380957
